id,alamat,kelurahan_id,no_tps
507,BALAI RW KLIMBUNGAN,27,TPS 13
508,BALAI RW,27,TPS 14
509,JAGALAN LAPANGAN,27,TPS 15
510,PANDEAN II,27,TPS 16
511,PANDEAN IV,27,TPS 17
512,GROGOL,27,TPS 18
513,BALAI RW LAWANG SEKETENG I,27,TPS 19
514,BALAI RW LAWANG SEKETENG IV,27,TPS 20
515,JAGALAN IV (PASAR),27,TPS 21
516,JAGALAN V (BALAI RW),27,TPS 22
517,HOTEL GARDEN PALACE JL TAMAN SIMPANG,28,TPS 1
518,"GEREJA TAMAN ADE IRMA, JL TAIS NASUTION",28,TPS 2
519,JL EMBONG BLIMBING (BALAI RW VIII),28,TPS 3
520,JL EMBONG BLIMBING (LAPANGAN DEPAN KORAMIL),28,TPS 4
521,JL BALAI RT 01 KEPUTRAN PASAR KECIL GG 1/9,28,TPS 5
522,LAPANGAN RT 03 KEPUTRAN PASAR KECIL GG 3,28,TPS 6
523,BALAI GOTONG ROYONG RW 11,28,TPS 7
524,LAPANGAN KEJAMBON GG I,28,TPS 8
525,LAPANGAN RT 04 KEPUTRAN KEJAMBON GG II,28,TPS 9
526,LAPANGAN SEBELAH BALAI RW 12,28,TPS 10
527,LAPANGAN DEPAN RT 09 KEPUTRAN KEJAMBON  2 ,28,TPS 11
528,LAPANGAN SEBELAH BALAI RW 13 ,28,TPS 12
529,LAPANGAN DEPAN HOTEL SANTIKA,28,TPS 13
530,BALAI PKK RT 07 RW 13,28,TPS 14
531,LAPANGAN BONGKARAN PANDEGILING,28,TPS 15
532,BALAI PAUD RT 12 RW 13,28,TPS 16
533,LAPANGAN PARKIR RUSUN URIP SUMOHARJO,28,TPS 17
534,JL KALIANYAR WETAN SMPN 37,29,TPS 1
535,"BALAI RW II, JL PECINDILAN GG 2",29,TPS 2
536,BALAI RW II PECINDILAN GG V,29,TPS 3
537,PECINDILAN TERATAI GG 1,29,TPS 4
538,GEMBONG GEDOKAN NO 10,29,TPS 5
539,BALAI RW IV GEMBONG GG II SEBELAH TIMUR,29,TPS 6
540,"HALAMAN PARKIR SINAR MARKET, GEMBONG GG II SEBELAH BARAT",29,TPS 7
541,GEMBONG II DKA NO 9,29,TPS 8
542,GEMBONG II DKA,29,TPS 9
543,HALAMAN AULA SMU NEGERI 7 JL NGAGLIK 27-29,29,TPS 10
544,BALAI RW V KAPASARI GG 1 NO 16,29,TPS 11
545,HALAMAN AULA SD-SLTP YAPENNAS KAPASARI GG VI NO 1,29,TPS 12
546,KAPASARI GG X  DEPAN RUMAH NO 5,29,TPS 13
547,HALAMAN AULA AWS FARMASI JL KAPASARI NO 3-5,29,TPS 14
548,"BALAI RW VI, NGAGLIK DKA SEBELAH SELATAN",29,TPS 15
549,"BALAI RW VII, NGAGLIK KUBURAN ",29,TPS 16
550,"BALAI RW VIII, NGAGLIK BARU GG 5",29,TPS 17
551,HALAMAN SDN KAPASARI V (TAMBAK DUKUH GG 1),29,TPS 18
552,HALAMAN SDN KAPASARI VIII (JL KUSUMA BANGSA),29,TPS 19
553,BALAI RW IX TAMBAK DUKUH NGAGLIK GG III,29,TPS 20
554,BALAI POSYANDU RW X KALISARI SAYANGAN,29,TPS 21
555,BALAI PERTEMUAN JL KALISARI GG II,29,TPS 22
556,KALIANYAR WETAN GG I,29,TPS 23
557,KALIANYAR WETAN GG II NO 22 BALAI RW XII,29,TPS 24
558,LAP. DHARMAWANGSA 2 ( DEKAT MASJID JENDRAL SUDIRMAN ),30,TPS 1
559,JL. DHARMAWANGSA IV,30,TPS 2
560,JL. DHARMAWANGSA BARAT ( DEPAN FOTO SAMBI ),30,TPS 3
561,JL. DHARMAWANGSA 7 ( DEPAN BALAI RW 1 ),30,TPS 4
562,JL. DHARMAWANGSA BARAT 41,30,TPS 5
563,BALAI RW II JL. GUBENG AIRLANGGA II,30,TPS 6
564,"POS KAMLING RT,O5 RW, II JALAN GUBENG AIRLANGGA VI",30,TPS 7
565,POS KAMLING RT. 09 RW. II JALAN GUBENG AIRLANGGA V BARAT,30,TPS 8
566,JL. DHARMAWANGSA DALAM SELATAN 5,30,TPS 9
567,JL. GUBENG KERTAJAYA V B ( DEPAN BALAI RW.III ),30,TPS 10
568,POS KAMLING RT.05 RW. III JL. GEBENG KERTAJAYA V D,30,TPS 11
569,POS KAMLING RT. 06 RW. III JL. GUBENG KERTAJAYA V E,30,TPS 12
570,POS KAMLING RT.07 RW. III JL. GUBENG KERTAJAYA V F,30,TPS 13
571,JL. GUBENG KERTAJAYA V RAYA No.30,30,TPS 14
572,JL. GUBENG KERTAJAYA VII A. TIMUR,30,TPS 15
573,BALAI RW VI JL. GUBENG KERTAJAYA VII E ( BARAT ),30,TPS 16
574,POS KAMLING RT. 10 RW. IV JL GUBENG KERTAJAYA VII H TIMUR,30,TPS 17
575,BALAI RW V JL. GUBENG KERTAJAYA IX RAYA No. 6,30,TPS 18
576,JL. GUBENG KERTAJAYA IX B DALAM,30,TPS 19
577,JL. GUBENG KERTAJAYA IX D,30,TPS 20
578,JL. GUBENG KERTAJAYA IX F,30,TPS 21
579,POS KAMLING RT. 11 RW. V JL. SRIKANA,30,TPS 22
580,JL. GUBENG KERTAJAYA XIII A,30,TPS 23
581,BALAI RW. 06 JL. GUBENG KERTAJAYA XIII C,30,TPS 24
582,JL. GUBENG KERTAJAYA XIII F,30,TPS 25
583,BALAI RW. 07 JL. KARANG MENUR IV,30,TPS 26
584,JL. KARANG MENJANGAN 86,30,TPS 27
585,LAP. JOJORAN STAL JL. SRIKANA ,30,TPS 28
586,BALAI RW. VIII JL. MENUR ABM,30,TPS 29
587,"Balai RW 01, Ngagel Jaya Tengah 48-A",31,TPS 1
588,Ngagel Tama Utara 4/4,31,TPS 2
589,"GOR RT 01, Ngagel Jaya Utara 3/4",31,TPS 3
590,"Balai RW II,  Ngagel Jaya Utara 57A",31,TPS 4
591,"Balai RW III, Ngagel Jaya Barat 3/4 ",31,TPS 5
592,Ngagel Jaya Barat no. 1 -21,31,TPS 6
593,Ngagel Jaya Barat no. 1 -21,31,TPS 7
594,Ngagel Jaya Barat no. 1 -21,31,TPS 8
595,Kalibokor Kencana I RT 01,31,TPS 9
596,Kalibokor Kencana I RT 04,31,TPS 10
597,"Balai RW V,  Kalibokor Kencana 2/20",31,TPS 11
598,Kalibokor 2/19,31,TPS 12
599,Lap. Volly Kalibokor gg I,31,TPS 13
600,Balai RW 6 Kalibokor 2/35,31,TPS 14
601,Balai RT 07 Kalibokor 2 /84,31,TPS 15
602,kalibokor sebelah selatan sungai,31,TPS 16
603,"Balai RW.VII,   Pucang Sewu 8/25",31,TPS 17
604,"Balai RW.VII,   Pucang Sewu 8/25",31,TPS 18
605,Balai Pertemuan PKK   Pc. Sawit 30,31,TPS 19
606,"Balai RW.VIII,   Pucang Sawit 29",31,TPS 20
607,"Balai RW.VIII,   Pucang Sawit 29",31,TPS 21
608,MOJOARUM VII / 4,32,TPS 1
609,MOJOARUM VII / 24,32,TPS 2
610,DHARMAHUSADA UTARA XI,32,TPS 3
611,KALIWARON V (BALAI RW 002),32,TPS 4
612,MOJOKLANGGRU LOR BARU,32,TPS 5
613,JL. KALIWARON (RT 001),32,TPS 6
614,KEDUNG PENGKOL 1 / 12,32,TPS 7
615,KEDUNG PENGKOL 1 / 38,32,TPS 8
616,MOJOKLANGGRU LOR/BALAI RT 002 RW 004,32,TPS 9
617,MOJOKLANGGRU LOR/BALAI RT 004 RW 004,32,TPS 10
618,MOJOKLANGGRU LOR/BALAI RT 006 RW 004,32,TPS 11
619,DHAR. HUSADA INDAH BRT/DEPAN DR. PUJO,32,TPS 12
620,MOJOKLANGGRU LOR/BALAI RT 009 RW 004,32,TPS 13
621,JL. DHARMAHUSADA / BENGKEL,32,TPS 14
622,MOJO 3-E,32,TPS 15
623,MOJO 3 ,32,TPS 16
624,MOJO 3,32,TPS 17
625,MOJO V / 16,32,TPS 18
626,MOJO I,32,TPS 19
627,MOJO 3-E,32,TPS 20
628,KEDUNG PENGKOL I,32,TPS 21
629,MOJOKLANGGRU WETAN 4 / 16,32,TPS 22
630,MOJO KIDUL 147 / SDN MOJO,32,TPS 23
631,MOJO KIDUL 1 / 9,32,TPS 24
632,MOJO 4 / 25,32,TPS 25
633,MOJO KIDUL 56,32,TPS 26
634,KEDUNG TARUKAN BARU I / 21 (BALAI RT 006),32,TPS 27
635,KEDUNG TARUKAN BARU III-A(POS RT 005),32,TPS 28
636,KEDUNG TARUKAN BARU IV / 2 (POS RT 007),32,TPS 29
637,KEDUNG TARUKAN BARU IV-D (POS RT 002),32,TPS 30
638,KARANG MENJANGAN 1 / 48,32,TPS 31
639,KARANG MENJANGAN 2 / 24,32,TPS 32
640,KARANG MENJANGAN 3 / 31,32,TPS 33
641,KARANG MENJANGAN 4 / 11,32,TPS 34
642,KARANG MENJANGAN 6 / 35,32,TPS 35
643,KARANG MENJANGAN 3-E / 25,32,TPS 36
644,JOJORAN 4 / 14,32,TPS 37
645,JOJORAN 4 / 5,32,TPS 38
646,JOJORAN 4 / 2,32,TPS 39
647,JOJORAN 5 / 19,32,TPS 40
648,JOJORAN 1 / 50,32,TPS 41
649,JOJORAN 5 TIMUR C / 17,32,TPS 42
650,JOJORAN 5 TIMUR A / 14,32,TPS 43
651,KALIDAMI 12-14,32,TPS 44
652,KALIDAMI 3 NO. 1-3,32,TPS 45
653,KALIDAMI 3 KOMPLEK KMS,32,TPS 46
654,JL. KALIDAMI,32,TPS 47
655,KALIDAMI VII,32,TPS 48
656,MANYAR KERTOARJO V,32,TPS 49
657,MANYAR KERTOARJO IX / 14,32,TPS 50
658,JOJORAN 3 / 108,32,TPS 51
659,JOJORAN BARU 2,32,TPS 52
660,JOJORAN BARU 4,32,TPS 53
661,JOJORSN BARU 3 / 38,32,TPS 54
662,JOJORAN 3 / 142,32,TPS 55
663,JOJORAN 3 / 157,32,TPS 56
664,JOJORAN 3 / 163,32,TPS 57
665,JOJORAN 3-A / 5,32,TPS 58
666,JOJORAN I / 85,32,TPS 59
667,JOJORAN I PERINTIS 3,32,TPS 60
668,JOJORAN I / 146,32,TPS 61
669,Jl. Pucang Jajar (Gd. Audetorium AKL),33,TPS 1
670,Jl. Pucang Rinenggo,33,TPS 2
671,Jl. Pucang Anom Timur 2/37,33,TPS 3
672,Jl. Pucang Anom Timur (Balai RW),33,TPS 4
673,Jl. Pucang Anom Timur (Balai RW),33,TPS 5
674,Jl. Pucang Anom Timur (Balai RW),33,TPS 6
675,Jl. Manyar Sambongan 30,33,TPS 7
676,"Jl, Manyar Sambongan 56",33,TPS 8
677,Jl. Manyar Sambongan 99A,33,TPS 9
678,Jl. Manyar Dukuh 25,33,TPS 10
679,Jl. Manyar Adi I/31 Depan Balai RW III,33,TPS 11
680,Jl. Gubeng Kertajaya VIII Raya,33,TPS 12
681,Jl. Gubeng Kertajaya VIII D / 22 ,33,TPS 13
682,Jl. Gubeng Kertajaya XA/ 8 Surabaya,33,TPS 14
683,Jl. Pucang Arjo Timur,33,TPS 15
684,Jl. Pucang Arjo (Balai RW V),33,TPS 16
685,Jl. Pucang Adi I/12,33,TPS 17
686,Jl. Pucang Anom Timur 17 A(Balai RW VI),33,TPS 18
687,Jl. Pucangan Alun2 (Balai RW VII),33,TPS 19
688,Jl. Pucangan Alun2 (Balai RW VII),33,TPS 20
689,Jl. Pucangan III,33,TPS 21
690,Jl. Pucangan III,33,TPS 22
691,Jl. Pucangan III,33,TPS 23
692,Jl. Pucangan I (Balai RW IX),33,TPS 24
693,Jl. Pucangan I (Balai RW IX),33,TPS 25
694,Jl. Juwingan 127,33,TPS 26
695,Jl. Juwingan 100,33,TPS 27
696,Jl. Juwingan 45 (Balai RW X),33,TPS 28
697,Jl. Juwingan 40,33,TPS 29
698,Jl. Juwingan I/21,33,TPS 30
699,Jl. Juwingan I/17,33,TPS 31
700,Jl. Gubeng Kertajaya II KA (Post RT I),33,TPS 32
701,Jl. Gubeng Kertajaya IV Raya,33,TPS 33
702,Jl. Gubeng Kertajaya IV B,33,TPS 34
703,Jl. Gubeng Kertajaya IV C,33,TPS 35
704,Jl. Gubeng Kertajaya VI Raya,33,TPS 36
705,JL. GUBENG KERTAJAYA III RAYA (GEDUNG TK),34,TPS 1
706,JL. GUBENG KERTAJAYA I-B / 15,34,TPS 2
707,JL. GUBENG KERTAJAYA I / 56 ,34,TPS 3
708,JL. GUBENG KERTAJAYA I-G (POS RT 10 RW 01) ,34,TPS 4
709,JL. GUBENG JAYA I BARAT (POS RT 01 RW 02),34,TPS 5
710,JL. GUBENG JAYA LANGGAR (POS RT 03 RW 02),34,TPS 6
711,JL. GUBENG JAYA II / 11,34,TPS 7
712,JL. GUBENG JAYA I TIMUR (POS RT 10 RW 02),34,TPS 8
713,JL. GUBENG JAYA LANGGAR (BALAI RW 02),34,TPS 9
714,JL. GUBENG JAYA II TIMUR (POS RT 15 RW 02),34,TPS 10
715,JL. GUBENG JAYA VIII (TENGAH),34,TPS 11
716,JL. GUBENG JAYA IX TIMUR (POS RT 19 RW 02),34,TPS 12
717,JL. GUBENG KLINGSINGAN (POS RT 01 RW 03),34,TPS 13
718,JL. GUBENG KLINGSINGAN 2 / 18 ,34,TPS 14
719,JL. GUBENG KLINGSINGAN 03 (POS RT 04 RW 03),34,TPS 15
720,JL. GUBENG KLINGSINGAN 88 (MUSOLAH IBROHIM),34,TPS 16
721,JL. GUBENG KLINGSINGAN V / 39,34,TPS 17
722,JL. GUBENG KLINGSINGAN V / 05 (POS RT 08 RW 03),34,TPS 18
723,JL. SUMATRA (YAYASAN DAPENA) SURABAYA ,34,TPS 19
724,JL. SUMBAWA NO. 25,34,TPS 20
725,JL. KALIMANTAN NO. 7,34,TPS 21
726,JL. Raya Ngagel Madya No 6,35,TPS 1
727,Jl. Ngagel Madya V/39,35,TPS 2
728,Jl. Ngagel Madya I,35,TPS 3
729,Jl. Ngagel Wasana I,35,TPS 4
730,Jl. Ngagel Wasana III,35,TPS 5
731,Jl. Ngagel Wasana VI,35,TPS 6
732,Jl. Ngagel Wasana V,35,TPS 7
733,Jl. Baratajaya XX,35,TPS 8
734,Jl. Baratajaya XX,35,TPS 9
735,Jl. Baratajaya XX,35,TPS 10
736,Jl. Baratajaya XX,35,TPS 11
737,Jl. Baratajaya II (Balai RW IV),35,TPS 12
738,Jl. Baratajaya II (Panggung),35,TPS 13
739,Jl. Baratajaya VII,35,TPS 14
740,Jl. Baratajaya VIII,35,TPS 15
741,Jl. Baratajaya IV,35,TPS 16
742,Jl. Baratajaya IX,35,TPS 17
743,Jl. Bratang Binangun I,35,TPS 18
744,Jl. Bratang Binangun I,35,TPS 19
745,Jl. Bratang Binangun VI,35,TPS 20
746,Jl. Bratang Binangun VII,35,TPS 21
747,Jl. Bratang Binangun V,35,TPS 22
748,Jl. Bratang Binangun I,35,TPS 23
749, Gununganyar Lor II/4B,36,TPS 1
750, Gununganyar Lor I/56,36,TPS 2
751, Gununganyar Lor ,36,TPS 3
752, Gununganyar Tengah V,36,TPS 4
753, Gununganyar Tengah ,36,TPS 5
754, Gununganyar Tengah VII/18,36,TPS 6
755, Amir Mahmud 52,36,TPS 7
756, Gununganyar Tengah I,36,TPS 8
757, Gununganyar Tengah III,36,TPS 9
758, Amir Mahmud 39,36,TPS 10
759, Amir Mahmud I/10,36,TPS 11
760, Raya Gununganyar Kidul,36,TPS 12
761, Raya Gununganyar Kidul,36,TPS 13
762, Raya Gununganyar Kidul,36,TPS 14
763, Gununganyar Sawah,36,TPS 15
764, Gununganayar Jaya 8,36,TPS 16
765, Wiguna I/70,36,TPS 17
766, Gununganyar Sawah,36,TPS 18
767, Gununganyar Sawah,36,TPS 19
768, Gununganayar Harapan  RT 2 RW 5,36,TPS 20
769, Perum Ikip Gununganyar Indah V,36,TPS 21
770, Purimas Regency,36,TPS 22
771, Purimas Regency Jl. Gianyar II,36,TPS 23
772, Purimas Regency Jl. Jimbaran G1,36,TPS 24
773,JL.GUNUNGANYAR TAMBAK I (RW 01),37,TPS 1
774,JL.GUNUNGANYAR TAMBAK II (TPQ QOWIYUL ISLAM),37,TPS 2
775,JL.WIGUNA TENGAH XIV (RW 03),37,TPS 3
776,JL.WIGUNA TENGAH VI (RW 03),37,TPS 4
777,SDN GUNUNGANYAR TAMBAK ( JL.WIGUNA TIMUR XII),37,TPS 5
778,JL.RAYA WIGUNA TIMUR RW 05,37,TPS 6
779,JL.WIGUNA SELATAN 1 (LAPANGAN BULUTANGKIS RW 05 ),37,TPS 7
780,RAYA CENTRAL PARK RW 06,37,TPS 8
781,TANAH LAPANG RW 07 WISMA INDAH 2,37,TPS 9
782,BALAI RW 08 GUNUNGANYAR EMAS,37,TPS 10
783,RUNGKUT TENGAH I.C,38,TPS 1
784,RUNGKUT TENGAH III.D,38,TPS 2
785,RUNGKUT TENGAH I.A,38,TPS 3
786,RUNGKUT TENGAH I.A,38,TPS 4
787,RUNGKUT TENGAH III ,38,TPS 5
788,RUNGKUT TENGAH IV/16,38,TPS 6
789,RUNGKUT TENGAH V/17,38,TPS 7
790,RUNGKUT TENGAH GG SEKOLAHAN (PARKIRAN SMK AL-ISLAH),38,TPS 8
791,RUNGKUT TENGAH 6/23,38,TPS 9
792,RUNGKUT MADYA,38,TPS 10
793,RUNGKUT PERMAI XII,38,TPS 11
794,LAPANGAN RUNGKUT MAPAN BARAT,38,TPS 12
795,LAPANGAN RUNGKUT MAPAN BARAT,38,TPS 13
796,LAPANGAN RUNGKUT MAPAN BARAT,38,TPS 14
797,RUNGKUT MAPAN UTARA,38,TPS 15
798,RUNGKUT MAPAN UTARA,38,TPS 16
799,RUNGKUT MAPAN UTARA,38,TPS 17
800,RUNGKUT MAPAN TIMUR (GEDUNG OLAHRAGA),38,TPS 18
801,Jl. R. Menanggal I / 09 (Klinik At - Taufiq) RT 01 - RW 01,39,TPS 1
802,Jl. R. Menanggal I / 61 ( Lap. Peternakan ),39,TPS 2
803,Jl. Kyai Satari II / 7 RT 02 - RW 01,39,TPS 3
804,Jl. Kyai Satari Gg. Makam RT 05 - RW 01,39,TPS 4
805,Balai RT 03 RW 01 R. Menanggal 3,39,TPS 5
806,Rungkut Menanggal 2 A / RT 05 - RW 02,39,TPS 6
807,Rungkut Menanggal 2 No. 11 / RT 01 - RW 02,39,TPS 7
808,Rungkut Menanggal 2 No. 29 / RT 01 - RW 02,39,TPS 8
809,Rungkut Menanggal IV RT 03 - RW 02,39,TPS 9
810,Rungkut Barata (Aula Barata) RT 02 - RW 03,39,TPS 10
811,Balai RW III Rungkut Barata,39,TPS 11
812,Jl. Rungkut Barata XII RT 06 RW III,39,TPS 12
813,Pertigaan Rungkut Barata XII - XIV RW 03,39,TPS 13
814,Angkringan RT 01 RW IV,39,TPS 14
815,Jl. Rungkut Menanggal Harapan,39,TPS 15
816,Balai RT 06 - RW IV Rungkut Menanggal Harapan,39,TPS 16
817,Balai RT 11 - RW IV RMH Blok K,39,TPS 17
818,Balai RT 13  RW IV,39,TPS 18
819,JL. KEBONSARI I,40,TPS 1
820,JL. KEBONSARI TENGAH 21,40,TPS 2
821,JL. KEBONSARI II,40,TPS 3
822,JL. KEBONSARI II-A / 21,40,TPS 4
823,JL. KEBONSARI III,40,TPS 5
824,JL. KEBONSARI MANUNGGAL,40,TPS 6
825,JL. KEBONSARI V-A,40,TPS 7
826,JL. KEBONSARI V-C,40,TPS 8
827,JL. KEBONSARI VI,40,TPS 9
828,JL. KEBONSARI V,40,TPS 10
829,JL. KEBONSARI ELVEKA,40,TPS 11
830,JL. KEBONSARI BARU,40,TPS 12
831,JL. KEBONSARI BARU SELATAN,40,TPS 13
832,Jl. Pagesangan I-A/26 (Tanah Kosong),41,TPS 1
833,Jl. Pagesangan I/ depan rumah No. 36,41,TPS 2
834,Jl. Pagesangan I/ depan rumah No. 8,41,TPS 3
835,Jl. Pagesangan II (Bawah Tol),41,TPS 4
836,Jl. Pagesangan Baru (Tanah Kosong),41,TPS 5
837,Jl. Pagesangan No. 63 (Rumah Bp. Pudji Mulyono),41,TPS 6
838,Jl. Pagesangan III Buntu No. 13,41,TPS 7
839,Jl. Pagesangan III-A (Depan Balai RW. II),41,TPS 8
840,Jl. Pagesangan III-B Langgar,41,TPS 9
841,Jl. Pagesangan Timur (Depan Lapangan Vutsal),41,TPS 10
842,Jl. Pagesangan IV Lapangan Volly,41,TPS 11
843,Jl. Pagesangan IV/53 (Rumah Bp. Sukaji),41,TPS 12
844,Jl. Pagesangan IV/23 (Depan TK. El Rahmah),41,TPS 13
845,Jl. Pagesangan III-A/67 (Depan rumah Bp. Saiful),41,TPS 14
846,Jl. Pagesangan No. 43 (Tanah Kosong),41,TPS 15
847,Jl. Pagesangan Asri IX (Depan Rumah Bp. H. Sujono),41,TPS 16
848,Jl. Wisma Pagesangan (Lapangan),41,TPS 17
849,Jl. Wisma Pagesangan (Lapangan),41,TPS 18
850,JL. JAMBANGAN  II   ( DPN P.DJONO ),42,TPS 1
851,BALAI  RW. 01 . JL. JAMBANGAN SAWAH   D-5,42,TPS 2
852,JL.  JAMBANGAN  III  ( SDN. JAMBANGAN ),42,TPS 3
853,JL.  JAMBANGAN SAWAH  SMPN. 21,42,TPS 4
854,JL.  JAMBANGAN SAWAH  DPN MASJID ISTIQOMAH,42,TPS 5
855,JL.  JAMBANGAN  V MUSHOLA ALMAHLA,42,TPS 6
856,JL.  JAMBANGAN   X  ( HALAMAN DEPAN TPQ),42,TPS 7
857,PERTIGAAN JAMBANGAN  GANG 8 DAN 7-A,42,TPS 8
858,JL.  JAMBANGAN  7-E (HAL DEPAN P.PANJI ),42,TPS 9
859,JL.  JAMBANGAN  IX  ( DEPAN MESJID AMIR MUKTI ),42,TPS 10
860,JL.  JAMBANGAN   BARU (  GEDUNG PRAMUKA ),42,TPS 11
861,JL.  JAMBANGAN SAWAH  DEPAN BALAI RW.05,42,TPS 12
862,GEDUNG PERTEMUAN RW.07/ PALMSPRING,42,TPS 13
863,Balai RW 7 Jl. Bibis Sawah,43,TPS 1
864,RT 2 RW 7 Jl. Raya Bibis Karah,43,TPS 2
865,Balai RT 1 RW 7 Jl. Bibis Karah Gg. I,43,TPS 3
866,Halaman SMA Kartika RT4 RW 6 JI. Raya Karah 182,43,TPS 4
867,RW 6 JI. Raya Karah ,43,TPS 5
868,Halam Kantor Perum Jasa Tirta RT 6 RW 6 JI. Raya Karah 6,43,TPS 6
869,RW 3 Jl. Karah I / 36,43,TPS 7
870,Balai RW 4 Jl. Karah IV,43,TPS 8
871,RT 5 RW 5 Jl. Karah V,43,TPS 9
872,RT 3 RW 5 Jl. Karah V,43,TPS 10
873,Balai RW 5 Jl. Karah V,43,TPS 11
874,RT 2 RW 2 Jl. Karah II No. 31,43,TPS 12
875,RT 3 RW 2 Jl. Karah II No. 16,43,TPS 13
876,Balai RW 1 Jl. Karah Indah I,43,TPS 14
877,Balai RW 12 Jl. Karah Indah II,43,TPS 15
878,Balai RW 10 Jl. Karah Agung,43,TPS 16
879,RW 8 Jl. Ketintang Madya II / 11,43,TPS 17
880,Balai RW 9 Jl. Ketintang Selatan I,43,TPS 18
881,RW 11 TPQ Baitul HAQ RW XI,43,TPS 19
882,Fasum RW 11 Ketintang Permai ,43,TPS 20
883,Jl. Raya Mastrip Warugunung II/1 (Halaman H. Hasan),44,TPS 1
884,Jl. Raya Mastrip Warugunung III/13 Gg. Bagong Halaman. Bpk. Nanang,44,TPS 2
885,Jl. Raya Mastrip Warugunung IV /1 Gg. Makam (Balai RW. 01),44,TPS 3
886,Jl. Raya Mastrip Warugunung No. 1 (Halaman H. Sanaji),44,TPS 4
887,Jl. Raya Mastrip Warugunung (Pos Kamling RT. 02 RW. 02 ),44,TPS 5
888,Jl. Raya Mastrip Warugunung VII/46 (Halaman Bapak Mahfud),44,TPS 6
889,Jl. Raya Mastrip Warugunung VI (Lapangan Sepak Bola RW. 02),44,TPS 7
890,Jl. Raya Mastrip Warugunung VIII/15  (Halaman Bpk. Suwadji ),44,TPS 8
891,Jl. Raya Mastrip Warugunung X/8 (SDN Warugunung I/448),44,TPS 9
892,Jl. Raya Mastrip Warugunung IX/40 (Halaman Bpk Musman),44,TPS 10
893,Jl. Raya Mastrip Warugunung IX /26 (Halaman Bpk. Samsul Hadi),44,TPS 11
894,SDN Karangpilang,45,TPS 1
895,Gg Pabrik Henson,45,TPS 2
896,,45,TPS 3
897,,45,TPS 4
898,,45,TPS 5
899,,45,TPS 6
900,,45,TPS 7
901,,45,TPS 8
902,,45,TPS 9
903,,45,TPS 10
904,,45,TPS 11
905,,45,TPS 12
906,BALAI RT. 02 RW I Keb.Tegal kalqum,46,TPS 1
907,LAP. PABRIK TRIPLEK JL.KEBRAON II RT 3RW.1,46,TPS 2
908,BALAI RW. 01 JL.KEBRAON II 65.RT 4 RW.1,46,TPS 3
909,HAL RUMAH Suyitno Ketua RT 01 JL.KEBRAON I POM,46,TPS 4
910,KEBRAON II DURIAN Samping Mushola RT 2 RW 2,46,TPS 5
911,KEBRAON II DURIAN Depan Balai RW II RT 4 RW 2,46,TPS 6
912,KEBRAON II DURIAN Depan Banista Tailor RT 7 RW 2,46,TPS 7
913,Balai RT 01 RW 03 Kebraon Praja Barat Seb.makam,46,TPS 8
914,Kebraon Gang Tomat Depan Rumah Harmaji,46,TPS 9
915,Griya Kebraon Selatan Blok BD 13 RT 3 RW 3,46,TPS 10
916,Balai RT 05 RW 03 Kebraon Manis Tengah lap.depan b.harlan,46,TPS 11
917,Pos Kamling RT 07 RW 03 Kebraon Mitra Satwa 1,46,TPS 12
918,Balai RT 09 RW 03 Kebraon Widya Seb.SMP.A6,46,TPS 13
919,Balai RW 04 Griya Kebraon Blok BA-23 RT 1 RW 4,46,TPS 14
920,Depan Pos RT 03 Griya Kebraon Blok CF-RT 3-4,46,TPS 15
921,Depan Griya Kebraon Blok CD dan CC.RT 6 RW 4,46,TPS 16
922,JL.Kemlaten GG.7.Balai RT 2 RW 5,46,TPS 17
923,JL.KEMLATEN GG VIII.RT 3 RW 5,46,TPS 18
924,Depan Balai RT01 Kemlaten gg IX,46,TPS 19
925,Perempatan Kemlaten Gg X antara RT03 dan 04 RW VI,46,TPS 20
926,Balai Pertemuan Kemlaten GG10,46,TPS 21
927,Lapangan Volley Kemlaten gg XII,46,TPS 22
928,Kemlaten Pesantren,46,TPS 23
929,Kemlaten Baru gg Anggrek,46,TPS 24
930,BALAI RW VIII JL.PRIMA KEBRAON TAMAN,46,TPS 25
931,BALAI RW VIII JL.PRIMA KEBRAON TAMAN,46,TPS 26
932,Griya Kebraon Utara Blok CL  RW 9,46,TPS 27
933,Griya Kebraon Blok AD Balai RT 06 RW 9,46,TPS 28
934,Balai RW 09 Griya Kebraon Utara Blok AE,46,TPS 29
935,Lapangan Griya Kebraon Utara RT 07 RW 9,46,TPS 30
936,Depan Balai RT 4 RW 10,46,TPS 31
937,Depan Balai RW 10,46,TPS 32
938,Depan Balai Pos Semnggi.RT04.RW.11(PAUD),46,TPS 33
939,Griya Kebraon Blok FA-RT 1-2 RW 12 (Majid Roudhotul Falah),46,TPS 34
940,Keb.Praja Timur RT 6 RW 12,46,TPS 35
941,BALAI RW 13 Gedung Tenes Meja RT 6 RW 13,46,TPS 36
942,BALAI RW 13 Gedung Tenes Meja RT 6 RW 13,46,TPS 37
943,"Balai RW. I, Jl Raya Mastrip Kedurus",47,TPS 1
944,"Kedurus II - A, Halaman Rumah Bpk RIDWAN",47,TPS 2
945,"Kedurus I-B, Halaman Rumah Bpk KASIADI",47,TPS 3
946,"Kedurus Gg. II, Halaman rumah BIDAN DINI",47,TPS 4
947,"Kedurus Gg. II, Buyut Punden",47,TPS 5
948,Kedurus 3 SD / 36,47,TPS 6
