id,judul_laporan,tanggal_kejadian,alamat,kelurahan_desa,kecamatan,kab_kota,provinsi,keterangan,kategori,status
00039,Bendera Hanura Terpasang di Taman Perumahan,2014-30-03 20:52,"Jalan Jombang, Periuk, Tangerang City, Banten 15133, Indonesia",,Periuk,Kota Tangerang,Banten,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Partai Hanura berupa pemasangan bendera yang sangat banyak di tancap di taman perumahan.\n\nDugaan pelanggaran ditemukan di Perumahan Bukti Nusa Indah, sekitar kavling 1558, Jombang, Tangerang Selatan, Banten.\n\nDugaan pelanggaran ditemukan pada hari minggu 30 maret 2014.",Dugaan Pelanggaran Administratif,
00040,Pohon Jadi Korban Iklan Caleg,2014-30-03 20:55,"Jalan Kayu Manis, Pamulang, South Tangerang City, Banten 15418, Indonesia",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh para caleg dari beberapa partai, diantaranya dari PKS, Hanura, Demokrat, KPB dan beberapa lainnya.\n\nPelanggaran berupa pemasangan alat peraga di pohon yang menghiasi taman tengah jalan komplek perumahan. Sangat disayangkan kelakuan para caleg yang seenaknya memasang alat peraga di pohon. Sesuai dengan aturan KPU, alat peraga tidak boleh dipasang di pohon.\n\nDugaan pelanggaran ditemukan di Komplek Perumahan Bukit Nusa Indah, Jalan\nKayu Manis, Jombang, Tangerang Selatan, banten.\n\nDugaan pelanggaran ditemukan\npada hari Minggu, 30 Maret 2014.",Dugaan Pelanggaran Administratif,
00041,Agnes Diduga Melanggar Aturan Kampanye,2014-30-03 20:44,"Jalan Benda, Jagakarsa, South Jakarta City, Jakarta 12630, Indonesia",,Jagakarsa,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Agnes Hanarsih, caleg dari Partai Demokrat untuk DPR-RI Nomor Urut 5.\n\nTemuan dugaan pelanggaran tersebut berupa pemasangan alat peraga di tiang listrik. Sesuai dengan ketentuan KPU, pemasangan alat peraga tidak diperkenankan di fasilitas umum.\n\nDugaan pelanggaran ditemukan di Jalan Benda Barat 10B, Pamulang 2, Tangerang Selatan, Banten.\n\nDugaan pelanggaran ditemukan pada hari minggu 30 maret 2014.",Dugaan Pelanggaran Administratif,
00042,Azis Muhammad Diduga Melanggar Aturan Pemilu,2014-30-03 20:36,"Jalan Benda Timur 11, Pamulang, South Tangerang City, Banten 15415, Indonesia",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Azis Muhammad, caleg dari Partai NasDem untuk DPRD Tangerang Selatan Nomor Urut 5.\n\nTemuan dugaan pelanggaran tersebut berupa alat peraga yang dipasang di pohon sehingga tidak sesuai dengan ketentuan KPU.\n\nDugaan pelanggaran ditemukan di Jalan Benda Barat 11, Pamulang 2, Tangerang Selatan, banten.\n\nDugaan pelanggaran ditemukan pada hari minggu 30 maret 2014.",Dugaan Pelanggaran Administratif,
00043,Caleg PKB Diduga Melanggar Aturan Pemilu,2014-30-03 20:23,"Jalan Benda Timur 11, Pamulang, South Tangerang City, Banten 15415, Indonesia",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Tommy Kurniawan, caleg dari PKB untuk DPR-RI Nomor Urut 3 beserta caleg lainnya nomor urut 2 untuk DPRD Tangerang Selatan.\n\nTemuan dugaan pelanggaran tersebut berupa\npemasangan alat peraga di tiang listrik.\n\nDugaan pelanggaran ditemukan di Jalan Benda\nTimur 11, Pamulang 2, Pondok Benda, Tangerang Selatan, Banten.\n\nDugaan pelanggaran\nditemukan pada hari minggu 30 maret 2014.",Dugaan Pelanggaran Administratif,
00044,Caleg Hanura Diduga Melanggar Aturan Pemilu,2014-30-03 20:11,"Jalan Benda Barat 14 Blok B14 No.2, Pamulang, South Tangerang City, Banten 15416, Indonesia",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Inas Nasrullah caleg DPR RI nomor urut 2 dan saprudin DPRD Tangerang Selatan nomor urut 6 dari Partai Hanura.\n\nTemuan dugaan pelanggaran tersebut berupa alat peraga yang dipaku di pohon dan sangat merusak kehidupan pohon.\n\nDugaan pelanggaran ditemukan di Jalan Benda Barat 11, Pamulang 2, Pondok Benda, Tangerang\nSelatan, Banten.\n\nDugaan pelanggaran ditemukan pada hari minggu 30 maret 2014.",Dugaan Pelanggaran Administratif,
00045,Santunan Meninggal Dunia Dari Partai NASDEM,2014-31-03 12:08,"Kampung Rambutan, Rambutan, Ciracas, East Jakarta City 13830, Indonesia",,Ciracas,,Jakarta,"Ditemukan dugaan politik uang pada tanggal 31 Maret 2014 di daerah Kampung Rambutan (Kampung Rambutan, Rambutan, Ciracas, East Jakarta City 13830, Indonesia). Tepatnya di jalan Asem T 05 RW 06 Ciracas, Jakarta Timur.\n\nDugaan pelanggaran pidana pemilu tersebut berupa pemberian formulir surat pernyataan yang di dalamnya terdapat kata-kata wajib melampirkan fotocopy KTP dan santunan meninggal dunia sebesar Rp 1 juta rupiah.\n\nFormulir tersebut dibagikan oleh kader dari Partai NasDem.",Dugaan Tindak Pidana Pemilu,
00046,Bendera Nasdem Nempel Pohon di Jalan Simatupang,2014-31-03 13:03,"Jalan Tb. Simatupang, East Jakarta City, Jakarta, Indonesia",,Jagakarsa,,Jakarta,"Ditemukan dugaan pelanggaran administatif pada tanggal 30 Maret 2014 berupa pemasangan Bendera Partai Nasdem di puluhan pohon di jalan raya TB Simatupang sekitar Wisma Raharja, Jakarta Selatan.",Dugaan Pelanggaran Administratif,
00047,Spanduk Airlangga Hartanto Tak Sesuai Aturan,2014-31-03 13:05,"Jalan Mekar Sari, Cimanggis, Depok, West Java 16452, Indonesia",,Cimanggis,Depok,Jawa Barat,"Ditemukan dugaan pelanggaran pemilu pada 31 Maret 2014 berupa pemasangan spanduk oleh Airlangga Hartanto, Caleg Partai Golkar No Urut 1 Dapil V Jawa Barat yang dipasang di pagar tempat umum Taman Buah Mekarsari (Jalan Mekar Sari, Cimanggis, Depok, West Java 16452, Indonesia)",Dugaan Pelanggaran Administratif,
00048,Madsanih Bangun Jalan dan Bagi Uang,2014-31-03 13:28,"Kalideres, Semanan, Kalideres, West Jakarta City 11850, Indonesia",Semanan,Kalideres,,Jakarta,"Ditemukan dugaan pelanggaran pemilu pada tanggal 31 Maret 2014 dengan lokasi Kampung Gaga RT: 06 RW: 04, Semanan,Kalideres, Jakarta Barat.\n\nDugaan pelanggaran berupa pembuatan jalan raya dan pembagian uang sebesar Rp 50 ribu kepada warga oleh caleg DPRD DKI Jakarta dari Partai Bulan Bintang dengan nama Madsanih.",Dugaan Tindak Pidana Pemilu,
00049,Iklan Gita Wiryawan Melebihi Durasi,2014-31-03 13:37,"Kalideres, Semanan, Kalideres, West Jakarta City 11850, Indonesia",Semanan,Kalideres,,Jakarta,Ditemukan dugaan pelanggaran pemilu pada tanggal 31 Maret 2014.\n\nDugaan pelanggaran berupa Iklan Gita Wirjawan dengan Partai Demokrat di 101 JAKFM melebihi ketetapan durasi.,Dugaan Pelanggaran Administratif,
00050,Iklan HANURA di Global FM Melebihi Durasi,2010-03-31 08:39,"Kalideres, Semanan, Kalideres, West Jakarta City 11850, Indonesia",Semanan,Kalideres,,Jakarta,"Ditemukan dugaan pelanggaran pemilu pada tanggal 1 April 2014 di daerah Semanan,Kalideres, Jakarta Barat.\n\nDugaan pelanggaran berupa pemasangan iklan Partai Hanura di media elektronik yaitu di 88,4 GlobalFM melebihi ketetapan durasi.",Dugaan Pelanggaran Administratif,
00051,Banyak Anak Kecil di Kampanye Rahmat Aziz,2010-03-31 09:34,"Kalideres, Semanan, Kalideres, West Jakarta City 11850, Indonesia",Semanan,Kalideres,,Jakarta,"Ditemukan dugaan pelanggaran pemilu pada tanggal 1 April 2014 di Lapangan Kelurahan Semanan,Kalideres, Jakarta Barat.\n\nDugaan pelanggaran berupa kampanye caleg DPRD DKI Jakarta dari Partai Keadilan Sejahtera dengan nama Rahmat Aziz banyak melibatkan anak kecil.","Dugaan Tindak Pidana Pemilu,Dugaan Pelanggaran Administratif",
00052,Efendi Simbolon Bagi Uang,2010-03-31 11:50,"Cengkareng, West Jakarta City, Jakarta, Indonesia",,Cengkareng,,Jakarta,"Ditemukan dugaan pelanggaran pidana pemilu pada tanggal 1 April 2014 di GOR Cendrawasih, Cengkareng, Jakarta Barat.\n\nDugaan pelanggaran berupa kampanye caleg DPR RI dari partai PDI-P dengan nama Efendi MS Simbolon membagikan uang untuk mereka yang mengikuti kampanye.",Dugaan Tindak Pidana Pemilu,
00053,"Irwansyah bagi Raket, Uang dan Alat Olah Raga",2014-30-03 19:46,"Ciracas, East Jakarta City, Jakarta, Indonesia",,Ciracas,,Jakarta,"Ditemukan dugaan pelanggaran administratif pada tanggal 30 Maret 2014 di daerah Kampung Baru RT 03 RW 02, Kelapa Dua Wetan, Ciracas, Jakarta Timur.\n\nCaleg dari Partai HANURA dengan nama Irwansyah mengadakan turnamen bulutangkis,Irwansyah Cup sekaligus kampanye dan membagikan uang, raket dan alat olahraga.",Dugaan Tindak Pidana Pemilu,
00054,Program Usaha Kecil di Global TV ada Atribut Hanura,2014-30-03 16:58,"Jakarta, Indonesia",,,,Jakarta,Ditemukan dugaan pelanggaran administratif pada tanggal 30 Maret 2014. Dugaan pelanggaran berupa iklan yang dibalut program acara.\n\nDI stasiun televisi Global TV terdapat program peduli usaha kecil. Namun di dalamnya terdapat beberapa orang yang menggunakan baju dan atribut Hanura.,Dugaan Pelanggaran Administratif,
00055,Iklan Kutagih Janjimu Masih Tayang,2014-30-03 14:48,"Jakarta, Indonesia",,,,Jakarta,Ditemukan dugaan pelanggaran asministratif pada tanggal 30 Maret 2014. Dugaan pelanggaran berupa penayangan iklan Kutagih Janjimu di MNC TV. Iklan ini sebenarnya telah dilarang oleh Komisi Penyiaran Indonesia karena isi dari iklan tersebut menyerang kandidat lainnya.,Dugaan Pelanggaran Administratif,
00056,Iklan Gerindra Melebihi Durasi,2014-30-03 14:36,"Jakarta Barat, Indonesia",,,,Jakarta,"Ditemukan dugaan pelanggaran asministratif pada tanggal 30 Maret 2014. Dugaan pelanggaran berupa penayangan iklan kampanye Partai Gerindra di radio Global FM melebihi durasi. Durasi iklan di media elektronik yang diperbolehkan adalah maksimal 30 detik, tetapi dalam iklan tersebut melebihi 30 detik.",Dugaan Pelanggaran Administratif,
00057,Kampanye PPP di Pamulang melibatkan anak-anak,2014-31-03 18:25,"Perumahan Griya Jakarta, Pamulang, Tangerang Selatan",,Pamulang,Tangerang Selatan,Banten,"Kampanye Partai Persatuan Pembangunan (PPP) di Pamulang, Tangerang Selatan telah melibatkan anak-anak. Kampanye tersebut dilakukan pada hari Senin, 30 Maret 2014 pukul 09.00. Dari pukul 09.00- 10.00 WIB kerumunan massa PPP berkumpul di perumahan Griya Jakarta, Pamulang. Berdasarkan peraturan KPU, setiap kampanye terbuka partai politik dilarang melibatkan anak-anak. Disertakan beberapa foto dalam laporan ini.",Dugaan Pelanggaran Administratif,
00058,Anis Matta langgar peraturan kampanye,2014-31-03 18:56,"Tanah Kusir, Jakarta Selatan",,Tanah Kusir,,Jakarta,"Sebuah alat peraga bergambar Anis Mata, Presiden Partai Keadilan Sejahtera (PKS), dipasang di sembarang tempat sehingga mengganggu pemandangan. Poster terpasang di pertigaan jalan di depan Seven Eleven Tanah Kusir, Jakarta Selatan. Pemasangan alat peraga tersebut telah melanggar peraturan pemilu yang mewajibkan partai politik dan caleg untuk menempatkan alat peraga di zona khusus dengan tetap mempertahankan keindahan lingkungan.",Dugaan Pelanggaran Administratif,
00059,Spanduk Zubaidah Di Pohon,2014-31-03 17:46,"Jalan Agung Sop, Beji, Depok, Jawa Barat.",,Beji,Depok,Jawa Barat,"Telah ditemukan pelanggaran oleh Hj Siti Zubaidah S.Pd caleg DPRD Kota Depok dari Partai Demokrat Nomor Urut 5 Dapil Beji-Limo-Cinere.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU yang dipasang pada sebatang pohon di Jalan Agung Sop, Beji, Depok, Jawa Barat.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU Nomor 15 Tahun 2013 tentang Pedoman Pelaksanaan Kampanye yaitu memasang bendera di pepohonan.\n\nHingga hari Senin, 31 Maret 2014 spanduk tersebut masih ditemukan.",Dugaan Pelanggaran Administratif,
00060,Poster Saaman di Pohon,2014-31-03 17:25,"Beji, Depok, West Java, Indonesia",,Beji,Depok,Jawa Barat,"Telah ditemukan pelanggaran oleh Saaman Karim, caleg DPRD Kota Depok dari Partai Nasional Demokrat (Nasdem) Nomor Urut 4 Dapil Beji-Limo-Cinere.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU yang dipasang pada sebatang pohon di Jalan Agung Sop, Beji, Depok, Jawa Barat.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU Nomor 15 Tahun 2013 tentang Pedoman Pelaksanaan Kampanye yaitu memasang bendera di pepohonan.\n\nHingga hari Senin, 31 Maret 2014 spanduk tersebut masih ditemukan.",Dugaan Pelanggaran Administratif,
00061,Caleg Demokrat Diduga Langgar Aturan Pemilu,2014-30-03 20:07,"Jalan Benda, Benda, Tangerang City, Banten, Indonesia",,Benda,Kota Tangerang,Banten,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh M. Iqbal Saidi, caleg dari Partai Demokrat untuk DPR-RIDapil Tangerang Selatan Nomor Urut 5.\n\nTemuan dugaan pelanggaran tersebut berupa alat peraga di tiang listrik.\n\nDugaan pelanggaran ditemukan di Jalan Benda Barat 11, Pamulang 2, Pondok Benda, Tangerang Selatan, Banten.\n\nDugaan pelanggaran ditemukan pada hari 30 maret 2014.",Dugaan Pelanggaran Administratif,
00062,Caleg PKS Diduga Langgar Aturan Kampanye,2014-30-03 20:03,"Jalan Benda, Benda, Tangerang City, Banten, Indonesia",,Benda,Kota Tangerang,Banten,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Nurul Comariah dan\nBudi Prajogo, caleg dari Partai PKS untuk DPR-RI/DPRD Dapil Tangerang Selatan dan Banten Nomor Urut 6 untuk Nurul dan 1 untuk Budi\n\nTemuan dugaan pelanggaran tersebut berupa alat peraga di tiang listrik.\n\nDugaan pelanggaran ditemukan di Jalan Benda Barat 11, Pamulang, Pondok Benda, Tangerang Selatan, Banten.\n\nDugaan pelanggaran ditemukan pada hari minggu 30 maret 2014.",Dugaan Pelanggaran Administratif,
00063,M Rizki Jonis Diduga Melanggar Aturan Pemilu,2014-30-03 19:52,"Jalan Benda, Benda, Tangerang City, Banten, Indonesia",,Benda,Kota Tangerang,Banten,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Ir. H M. Rizki Jonis, caleg dari Partai demokrat untuk DPR-RI Dapil tangerang selatan Nomor Urut 2.\n\nTemuan dugaan pelanggaran tersebut berupa alat peraga di tiang listrik.\n\nDugaan pelanggaran ditemukan di Jalan benda barat 10A, Pamulang, Pondok Benda, Tangerang Selatan, banten.\n\nDugaan pelanggaran ditemukan pada hari minggu 30 maret 2014.",Dugaan Pelanggaran Administratif,
00064,Alat Peraga PKB di Jalan Protokol,2014-30-03 19:48,"Jalan Benda, Benda, Tangerang City, Banten, Indonesia",,Benda,Kota Tangerang,Banten,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh H. A Muaimin dan Ir H Suryadi, caleg dari PKB.\n\nTemuan dugaan pelanggaran tersebut berupa\nalat peraga besar di jalan yang dilarang aturan KPU di wilayah Tangerang Selatan\n\nDugaan pelanggaran ditemukan di Jalan Pondok benda 15, Pamulang, Pondok Benda, Tangerang Selatan, banten.\n\nDugaan pelanggaran ditemukan pada hari minggu 30 maret 2014.",Dugaan Pelanggaran Administratif,
00065,Torus Sihombing Bagi-Bagi Amplop,2014-30-03 19:23,"Ciracas, East Jakarta City, Jakarta, Indonesia",,Ciracas,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Torus P.BL Sihombing,S.AB.,M.Si, caleg dari Partai Hanura untuk DPRD DKI Jakarta,\nDapil 6, Nomor Urut 1.\n\nTemuan dugaan pelanggaran tersebut berupa pembagian amplop berisi uang Rp 15 ribu - Rp 30 ribu kepada warga simpatisaan usai mengikuti kampanye terbuka caleg tersebut di GOR Ciracas Jakarta Timur.\n\nDugaan pelanggaran ditemukan di Jalan Raya Bogor kecamatan Ciracas,Jakarta Timur.\n\nDugaan pelanggaran ditemukan pada hari Senin\n30/Maret/2014.",Dugaan Tindak Pidana Pemilu,
00066,Ada Anak-Anak di Kampanye Torus Sihombing,2014-30-03 17:27,"Ciracas, East Jakarta City, Jakarta, Indonesia",,Ciracas,,Jakarta,"Ditemukan dugaan pelanggaran kampanye pemilu yang dilakukan oleh caleg DPRD DKI Jakarta dapil 6 dari Partai Hanura dengan nama Torus P.BL Sihombing,S.AB.,M.Si.\n\nDugaan pelanggaran berupa kampanye akbar yang mengikut sertakan anak-anak.\n\nKampanye akbar tersebut berlangsung di GOR Ciracas, Jakarta Timur pada Minggu, 30 maret 2014.","Dugaan Tindak Pidana Pemilu,Dugaan Pelanggaran Administratif",
00067,Bendera PKPI Mengganggu Pemandangan,2010-03-29 08:01,"Jalan Benda, Jagakarsa, South Jakarta City, Jakarta 12630, Indonesia",,Jagakarsa,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh partai PKPI.\n\nTemuan dugaan pelanggaran tersebut berupa alat peraga bendera partai yang sangat banyak di tancap di tanah di bundaran jalanan.\n\nDugaan pelanggaran ditemukan di Bundaran Pamulang 2, pertigaan ke Ciater dan\nBukit Nusa Indah, Pamulang, Pondok Benda, Tangerang Selatan, Banten.\n\nDugaan pelanggaran ditemukan pada hari minggu, 30/3/2014 pukul 07.00 WIB.",Dugaan Pelanggaran Administratif,
00068,Caleg PAN Melanggar Aturan Alat Peraga,2014-29-03 19:15,"Jalan Benda, Jagakarsa, South Jakarta City, Jakarta 12630, Indonesia",,Jagakarsa,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh M. Ali Taher, HM Benold dan Adli Bahrun, caleg dari Partai PAN untuk DPR-RI/DPRD Dapil Tangerang Selatan Nomor Urut 1,6 dan 8.\n\nTemuan dugaan pelanggaran tersebut berupa pemasangan alat peraga pada tiang listrik di\nperumahan.\n\nDugaan pelanggaran ditemukan di Jalan Benda Barat 11B, Pamulang, Pondok Benda, Tangerang Selatan, banten.\n\nDugaan pelanggaran ditemukan pada hari sabtu, 29/3/2014 pukul 17.00 WIB.",Dugaan Pelanggaran Administratif,
00069,Kampanye Dibalut dalam Berita di Majalah Society,2014-29-03 18:05,"Jalan Benda, Jagakarsa, South Jakarta City, Jakarta 12630, Indonesia",,Jagakarsa,,Jakarta,"Terdapat dugaan pelanggaran administratif berupa pemberitaan di media yang sangat mirip dengan kampanye.\n\nDi dalam pemberitaan Majalah Society berisi tentang beberapa calon wakil rakyat, salah satunya adalah Taufik Hidayat, caleg DPRD Tangerang Selatan dari PAN dapil Pamulang.\n\nDi dalam majalah tersebut terdapat berita tentang keakraban caleg dan pengajian yang diadakan bersama ibu-ibu. Dalam majalah tersebut juga disebutkan bahwa Taufik mengadakan pengajian bersama ibu-ibu, padahal pengajian ini adalah pengajian akikah anak-nya yang baru lahir.\n\nDi dalam majalah juga terdapat foto Taufik sedang memakan bakso yang disebutkan sebagai bentuk akraban. Namun pada kenyataannya Taufik sendiri menyediakan bakso untuk di santap setelah pengajian. Bisa juga dilihat terdapat sticker Taufik di tempel di gerobak.\n\nKejadian ini terjadi di Jalan Benda Barat 10A pamulang 2, Tangerang Selatan, sebelum masa kampanye.",Dugaan Pelanggaran Administratif,
00070,Dugaan Pelanggaran Kampanye Partai HANURA,2010-03-27 14:39,"Kebayoran Baru, South Jakarta City, Jakarta, Indonesia",,Kebayoran Baru,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Partai HANURA.\n\nTemuan dugaan pelanggaran tersebut berupa pengerahan masa yang belum mempunyai hak pilih.\n\nDugaan pelanggaran ditemukan di gedung lapangan blok S, Kebayoran Baru, Jakarta Selatan, DKI JAKARTA.\n\nDugaan pelanggaran ditemukan pada hari 28 maret 2014.","Dugaan Tindak Pidana Pemilu,Dugaan Pelanggaran Administratif",
00071,Anak-anak di Kampanye Terbuka Hanura,2010-03-27 11:35,"Jalan Otista Raya, Jatinegara, East Jakarta City, Jakarta, Indonesia",,Jatinegara,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Partai HANURA. Temuan dugaan pelanggaran tersebut berupa pengerahan masa yang belum mempunyai hak pilih.\n\nDugaan pelanggaran ditemukan di gedung GOR youth center Jalan Otista, Jatinegara, Bidara Cina, Jakarta Timur, Provinsi DKI JAKARTA\n\nDugaan pelanggaran ditemukan pada hari 27 maret 2014.","Dugaan Tindak Pidana Pemilu,Dugaan Pelanggaran Administratif",
00072,Bendera Partai Keadilan Sejahtera Hiasi Semanggi,2010-03-29 13:05,"Semanggi, Gelora, Tanah Abang, Central Jakarta City 10270, Indonesia",,Tanah Abang,,Jakarta,"Ditemukan dugaan pelanggaran administratif pemilu pada tanggal 30 Maret 2014 di daerah Semanggi, Jakarta Selatan berupa pemasangan Bendera PKS memenuhi sepanjang jembatan semanggi depan JCC.",Dugaan Pelanggaran Administratif,
00073,Caleg PBB Bagi Sarung,2014-29-03 20:42,"Jalan Taman Sari Raya, Tamansari, West Jakarta City, Jakarta, Indonesia",,Tamansari,,Jakarta,"Ditemukan dugaan pelanggaran pemilu pada tanggal 29 Maret 2014 pukul 20.15 WIB di daerah Jalan Kerajinan 9, Taman Sari, Jakarta Barat.\n\nDugaan pelanggaran berupa pemberian sarung dan uang oleh caleg DPRD DKI Jakarta dari PBB dengan nama Habib Sahid.",Dugaan Tindak Pidana Pemilu,
00074,Kampanye Melibatkan Anak-Anak,2014-29-03 19:43,"Bungur, Ciracas, East Jakarta City, Jakarta 13830, Indonesia",,Ciracas,,Jakarta,"Ditemukan dugaan pelanggaran kampanye pada tanggal 29 Maret 2014 di daerah Bungur, Ciracas, East Jakarta City, Jakarta 13830, Indonesia.\n\nDugaan pelanggaran berupa terdapat banyak anak-anak dalam kampanye terbuka yang berupa pangajian di lapangan Jalan Bungur ciracas jakarta timur dari partai NASDEM.","Dugaan Tindak Pidana Pemilu,Dugaan Pelanggaran Administratif",
00075,Caleg PDI-P bagi Sembako,2010-03-28 19:15,"Jembatan Besi, Tambora, West Jakarta City, Jakarta, Indonesia",Jembatan Besi,Tambora,,Jakarta,"Ditemukan dugaan pelanggaran pemilu pada tanggal 29 Maret 2014 jam 7 malam dengan lokasi Sekolah Candra Naya RW.03, Jembatan Besi, Jakarta Barat.\n\nDugaanpelanggaran berupa pembagian sembako dan pemberian uang oleh caleg DPR RI dari partai PDI-P dengan nama Charles Honoris.",Dugaan Tindak Pidana Pemilu,
00076,Iklan di TV Melebihi Durasi,2010-03-28 19:01,"Kampung Rambutan, Rambutan, Ciracas, East Jakarta City 13830, Indonesia",Kampung Rambutan,Ciracas,,Jakarta,Ditemukan dugaan pelanggaran pemilu pada tanggal 29 Maret 2014. Dugaan pelanggaran tersebut berapa penayangan iklan di media televisi melebihi durasi yang ditentukan oleh KPU yaitu lebih dari 30 detik di stasiun televisi jaringan milik MNC.\n\nDugaan pelanggaran dilakukan oleh capres & cawapres atas nama Wiranto & Hary Tanoe Sudibyo dari partai HANURA.,Dugaan Pelanggaran Administratif,
00077,Caleg Gerindra Beri Uang Buat Bangun Jalan,2010-03-28 17:46,"Ciracas, East Jakarta City, Jakarta, Indonesia",,Ciracas,,Jakarta,"Ditemukan dugaan pelanggaran pidana pemilu yang dilakukan oleh kader dari Partai Gerindra.\n\nDugaan pelanggaran berupa pemberian uang kepada warga yang digunakan untuk pengerasan jalan di daerah Kebun Sayur RT 05 RW 06, Ciracas, Jakata Timur.",Dugaan Tindak Pidana Pemilu,
00078,Alat Peraga di Masjid,2010-03-28 12:05,"Prumpung Pedati, North Cipinang Besar, Jatinegara, East Jakarta City 13410, Indonesia",Cipinang Besar,Jatinegara,,Jakarta,"Ditemukan dugaan pelanggaran asministratif pada tanggal 29 Maret 2014 di daerah Pedati Prumpung, Jakarta Timur. (Prumpung Pedati, North Cipinang Besar, Jatinegara, East Jakarta City 13410, Indonesia)\n\nDugaan pelanggaran berupa pemasangan alat peraga dari berbagai partai dan caleg di tepi jalan bahkan di masjid.",Dugaan Pelanggaran Administratif,
00079,Bendera Partai di Pancoran,2010-03-28 12:43,"Pancoran, East Tebet, Tebet, South Jakarta City 12820, Indonesia",Pancoran,Tebet,,Jakarta,"Ditemukan dugaan pelanggaran administratif pada tanggal 29 Maret 2014 di daerah Pancoran,Jakarta Selatan.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan ketentuan KPU. Banyak bendera PKPI,PKS di sekitar lampu merah pancoran, Jakarta Selatan.",Dugaan Pelanggaran Administratif,
00080,Kampanye SARA,2010-03-28 15:54,"Jalan Taman Sari Raya, Tamansari, West Jakarta City, Jakarta, Indonesia",,Tamansari,,Jakarta,Ditemukan dugaan pelanggaran pidana pemilu pada tanggal 29 Maret 2014 dengan lokasi lapangan bola SMK 35 Taman Sari Jakarta Barat.\n\nDugaan pelanggaran berupa orasi yang berisikan SARA yang dilakukan oleh caleg DPRD DKI Jakarta dari PPP dengan nama Danny Kusuma.,Dugaan Tindak Pidana Pemilu,
00081,Andi Ahmadi Diduga Melanggar Aturan Kampanye,2010-03-28 09:59,"Puncak, Sukasari, Sumedang 45366, Indonesia",,Sukasari (Puncak),Sumedang,Jawa Barat,"Ditemukan dugaan pelanggaran administratif pada tanggal 29 Maret 2014 berupa pemasangan spanduk Andi Ahmadi, Caleg Partai Nasdem Dapil Jabar V Kabupaten Bogor.\n\nSpanduk dipasang tidak sesuai dengan ketentuan yang ada yaitu di pagar besi Pasar perempatan Puncak dan Sukabumi.",Dugaan Pelanggaran Administratif,
00082,Bendera PAN dan Demokrat di Mekarsari,2010-03-27 13:13,"Cileungsi, Bogor, West Java, Indonesia",,Cileungsi,Bogor,Jawa Barat,"Ditemukan dugaan pelanggaran administatif pada tanggal 28 Maret 2014 berupa pemasangan Bendera Partai Amanat Nasional (PAN) dan Partai Demokrat di infrastruktur publik tiang listrik di pinggir jalan Cileungsi Raya dekat Taman Buah Mekarsari. (Cileungsi, Bogor, West Java, Indonesia)",Dugaan Pelanggaran Administratif,
00083,Bendera Partai di Cileungsi,2010-03-27 13:13,"Cileungsi, Bogor, West Java, Indonesia",,Cileungsi,Bogor,Jawa Barat,"Ditemukan dugaan pelanggaran administarif pada tanggal 28 Maret 2014 berupa pemasangan Bendera Partai Amanat Nasional (PAN), Partai Demokrat, Partai Golkar, dan Partai Gerindra di jalan layang perempatan Cileungsi Bogor.",Dugaan Pelanggaran Administratif,
00084,Iklan di TV Melebihi Durasi,2010-03-28 07:30,"Ciracas, East Jakarta City, Jakarta, Indonesia",,Ciracas,,Jakarta,Ditemukan dugaan pelanggaran pemilu berupa pemasangan iklan di televisi dengan durasi lebih dari 30 detik.\n\nPemasangan iklan tersebut dilakukan oleh calon presiden dan calon wakil presiden dari Partai Hanura yaitu Wiranto dan Hary Tanoe Sudibyo.\n\nDugaan pelanggaran ditemukan pada televisi jaringan MNC TV pada tanggal 29 Maret 2014.,Dugaan Pelanggaran Administratif,
00085,Belum Terdaftar di DPT,2010-03-29 06:13,"Duren Sawit, East Jakarta City, Jakarta, Indonesia",,Duren Sawit,,Jakarta,"Nama: Yogi Subandra Dwitama\nAlamat: Pondok Kelapa, Jakarta Timur.",DPT,
