id,name,start,finish,parent_id,category
140,PENETAPAN PASANGAN TERPILIH PASCA PUTUSAN MAHKAMAH KONSTITUSI : CALON BUPATI DAN WAKIL BUPATI ATAU CALON WALIKOTA DAN WAKIL WALIKOTA TERPILIH,12 Februari 2016,13 Februari 2016,139,PENYELENGGARAAN
141,PENETAPAN PASANGAN TERPILIH PASCA PUTUSAN MAHKAMAH KONSTITUSI : CALON GUBERNUR DAN WAKIL GUBERNUR TERPILIH,13 Februari 2016,14 Februari 2016,139,PENYELENGGARAAN
142,PENGUSULAN PENGESAHAN PENGANGKATAN PASANGAN CALON TERPILIH,,,0,PENYELENGGARAAN
143,PENGUSULAN PENGESAHAN PENGANGKATAN PASANGAN CALON TERPILIH : BUPATI DAN WAKIL BUPATI ATAU WALIKOTA DAN WAKIL WALIKOTA TERPILIH,,,142,PENYELENGGARAAN
144,BUPATI DAN WAKIL BUPATI ATAU WALIKOTA DAN WAKIL WALIKOTA TERPILIH : TIDAK ADA PERMOHONAN PHP,23 Desember 2015,29 Desember 2015,143,PENYELENGGARAAN
145,BUPATI DAN WAKIL BUPATI ATAU WALIKOTA DAN WAKIL WALIKOTA TERPILIH : TERDAPAT PERMOHONAN PHP,13 Februari 2016,14 Maret 2016,143,PENYELENGGARAAN
146,PENGUSULAN PENGESAHAN PENGANGKATAN PASANGAN CALON TERPILIH : GUBERNUR DAN WAKIL GUBERNUR TERPILIH,,,142,PENYELENGGARAAN
147,GUBERNUR DAN WAKIL GUBERNUR TERPILIH : TIDAK ADA PERMOHONAN PHP,23 Desember 2015,30 Desember 2015,146,PENYELENGGARAAN
148,GUBERNUR DAN WAKIL GUBERNUR TERPILIH : TERDAPAT PERMOHONAN PHP,13 Februari 2016,15 Maret 2016,146,PENYELENGGARAAN
149,EVALUASI DAN PELAPORAN,,,0,PENYELENGGARAAN
150,EVALUASI DAN PELAPORAN : TIDAK ADA PERMOHONAN PHP,31 Desember 2015,1 Februari 2016,149,PENYELENGGARAAN
151,EVALUASI DAN PELAPORAN : TERDAPAT PERMOHONAN PHP,16 Maret 2016,14 April 2016,149,PENYELENGGARAAN
