id,provinsi_id,nama,tempat_lahir,tanggal_lahir,jabatan,fraksi,alamat,keterangan
1338,15,SUKMAWATI,KEDEMANGAN,17/01/1976,,DEMOKRAT,Komplek Perkantoran Bukit Cinto Kenang Sekretariat DPRD 0741-590040,
1339,15,RUSDI SALEH,SENGETI,16/09/1972,,PAN,Komplek Perkantoran Bukit Cinto Kenang Sekretariat DPRD 0741-590040,
1340,15,"AMIRUDIN,S.Ag",BANGSO,02/10/76,,PAN,Komplek Perkantoran Bukit Cinto Kenang Sekretariat DPRD 0741-590040,
1341,15,FATHURI,MAGELANG,03/06/73,,PAN,Komplek Perkantoran Bukit Cinto Kenang Sekretariat DPRD 0741-590040,
1342,15,SURYADI,IBRU,02/09/73,,PAN,Komplek Perkantoran Bukit Cinto Kenang Sekretariat DPRD 0741-590040,
1343,15,"M.FAHMI,SH.MH",TANJUNG MENANTI,08/06/58,,PAN,Komplek Perkantoran Bukit Cinto Kenang Sekretariat DPRD 0741-590040,
1344,15,"KAMALUDIN HAVIS, S.Ag",KOTA KARANG,10/09/75,,PPP,Komplek Perkantoran Bukit Cinto Kenang Sekretariat DPRD 0741-590040,
1345,15,SYAIFUL ASHADI,SIDOARJO,21/08/1968,,PPP,Komplek Perkantoran Bukit Cinto Kenang Sekretariat DPRD 0741-590040,
1346,15,SAMSUL BAHARI.SE,JAMBI,28/06/1961,,HANURA,Komplek Perkantoran Bukit Cinto Kenang Sekretariat DPRD 0741-590040,
1347,15,,,,,,,
1348,15,KUSNIDAR,JAMBI,19/11/1969,,NasDem,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1349,15,"EDMON, S.Pd",KERINCI,07/05/65,,NasDem,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1350,15,H. Ir. MUHAMMAD ISRONI,SOLO,22/07/1951,,NasDem,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1351,15,"SOFYAN ALI, SH",JAMBI,20/10/1973,,PKB,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1352,15,TADJUDDIN HASAN,TERUSAN,01/01/53,,PKB,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1353,15,"FAHRURROZI, A.Md",SAROLANGUN,04/10/72,,PKB,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1354,15,"MUNTALIA, SH",KERINCI,10/04/63,,PKB,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1355,15,"Hj. EKA MARLINA MADJID MU'AZ, SE.MH",YONGYAKARTA,02/08/72,,PKB,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1356,15,SAINUDDIN,KUALA TUNGKAL,02/01/63,,PKB,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1357,15,ARRAKHMAT EKA PUTRA,SEMERAP,15/06/1976,,PKS,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1358,15,"SUPRIYANTO, SP",SRAGEN,04/10/77,,PKS,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1359,15,"RUDI WIJAYA, S. Si, APT",UJUNG GADING,18/05/1971,,PKS,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1360,15,CHUMAIDI ZAIDI,PENDOPO,20/07/1958,,PDI-P,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1361,15,"EDI PURWANTO,SH.I,M.Si",SAROLANGUN,04/07/80,,PDI-P,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1362,15,H.HILALATIL BADRI,PELAWAN,04/12/68,,PDI-P,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1363,15,"ZAINUL ARFAN, S.TP",KAMPUNG TENGAH,12/03/68,,PDI-P,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1364,15,IR.MESRAN,PURBAGANDA,08/12/65,,PDI-P,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1365,15,ELHELWI,JAMBI,01/02/55,,PDI-P,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1366,15,"LUHUT SILABAN,SH",JAMBUR KAB DAIRI,16/01/1964,,PDI-P,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1367,15,H.ZOERMAN MANAP,JAMBI,24/03/1943,,GOLKAR,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1368,15,SYAHIRSYAH SY,JAMBI,04/05/60,,GOLKAR,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1369,15,"HJ.MASNAH BUSRO,SE",SEPONJEN,15/06/1977,,GOLKAR,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1370,15,"SUFARDI NURZAIN,M.Si",DUSUN MUARA SIAU,07/05/77,,GOLKAR,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1371,15,GUSRIZAL,KERINCI,18/08/1976,,GOLKAR,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1372,15,DRS.H.MAYLOEDIN AND,MUARA BUNGO,15/05/1938,,GOLKAR,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1373,15,"POPRIANTO,SE",TANJUNG,10/10/79,,GOLKAR,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1374,15,"H.M.JUBER,S.Ag",PEMUSIRAN,04/03/70,,GOLKAR,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1375,15,"BUDI YAKO S,Kom",JAMBI,24/12/1970,,GERINDRA,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1376,15,DRS.A.R.SYAHBANDAR,BOGOR,18/12/1966,,GERINDRA,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1377,15,"M KHAIRIL,ST",LUBUK SEPUH,26/06/1971,,GERINDRA,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1378,15,"YANTI MARIA SUSANTI, SE",KOTO IMAN,18/01/1976,,GERINDRA,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1379,15,"H.BUSTAMI, SH",LAMPOH SAKA - ACEH,10/07/60,,GERINDRA,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1380,15,"MUHAMADIYAH, SH.MH",MENDAHARA,07/09/77,,GERINDRA,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1381,15,IR. H. CORNELIS BUSTON,LUBUK LINGGAU,05/10/63,,DEMOKRAT,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1382,15,"H. ZAINAL ABIDIN, SE",TEMBILAHAN,30/09/1959,,DEMOKRAT,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1383,15,EFFENDI HATTA,JAMBI,23/09/1961,,DEMOKRAT,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1384,15,"Hj. SOFIA JOESOEF, SH",PALEMBANG,15/11/1952,,DEMOKRAT,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1385,15,"Hj. SULIYANTI, SH",BLITAR,30/03/1953,,DEMOKRAT,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1386,15,"H. NASRI UMAR, SH, MH",SAROLANGUN,28/04/1958,,DEMOKRAT,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1387,15,"IRMANTO, S. Pd, MM",SIULAK GEDANG,06/07/75,,DEMOKRAT,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1388,15,Hj. RAHIMA,MUARA BUNGO,14/04/1960,,DEMOKRAT,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1389,15,Hj. NURHAYATI,PARIT CULUM,15/10/1968,,DEMOKRAT,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1390,15,"WIWID ISWHARA, ST",JAMBI,27/03/1972,,PAN,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1391,15,"BAMBANG BAYU SUSENO, SP, MM",PALEMBANG,14/04/1972,,PAN,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1392,15,"H. HASIM AYUB, SH, MH",CANDI,05/12/69,,PAN,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1393,15,"SUPRIYONO, SH",MUARA SABAK,18/04/1966,,PAN,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1394,15,"AGUS RAMA, SH",SUNGAI LOKAN,02/04/67,,PAN,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1395,15,"H. PARLAGUTAN L, BA",KOTA NOPAN,07/10/61,,PPP,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1396,15,"H. MAULI, SH",HUTABARGOT,18/05/1968,,PPP,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1397,15,SYOPIAN,PENGEDARAN,24/06/1970,,PPP,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1398,15,"H. HASAN IBRAHIM, S.Pd.I",TANJUNG AGUNG,05/06/52,,PPP,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1399,15,CEKMAN,JAMBI,24/07/1957,,HANURA,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1400,15,H. SALAM. HD,PEMENANG,07/08/72,,HANURA,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1401,15,"H. DJAMALUDDIN, ST",KERINCI,06/01/58,,HANURA,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1402,15,"NASRULLAH HAMKA, SE",MENDAHARA,01/03/60,,PBB,Jl. A Yani No.02 Telanaipura Jambi 36122 0741 - 62656,
1403,15,,,,,,,
1404,15,"FAIZAL RIZA, ST, MM",KUALA TUNGKAL ,30/12/1973,KETUA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI GERINDRA,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1405,15,"MULYANI SIREGAR, SH",MERLUNG       ,21/04/1963,WAKIL KETUA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI PDI-P,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1406,15,"AHMAD JAHFAR, SH",PARIT LAJAR DESA SENYERANG,05/08/80,WAKIL KETUA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI GOLKAR,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1407,15,"RIANO JAYA WARDHANA.Nst, SH",JAMBI          ,01/02/78,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI RESTORASI KEADILAN,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1408,15,"RAMZIA, A.M.Kep",LUBUK BERNAI  ,27/01/1991,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI RESTORASI KEADILAN,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1409,15,"H. ABDUL HAMID, SH",SUNGAI TERAP  ,10/09/69,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI PKB,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1410,15,"Hj. NURASIAH, S.Pd.I",KUALA TUNGKAL ,01/06/75,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI PKB,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1411,15,AZHADI,LUBUK LAWAS   ,05/03/82,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI PKB,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1412,15,"H. MUHAMMAD FADLI, SH",KUALA TUNGKAL ,07/06/68,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI PKB,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1413,15,MARIATUL KIFTIAH,KUALA TUNGKAL ,03/03/67,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI RESTORASI KEADILAN,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1414,15,AZIZ ROHMAN,TEMANGGUNG  ,30/03/1973,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI RESTORASI KEADILAN,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1415,15,"Hj. CICI HALIMAH, SE",INDRAMAYU    ,25/02/1964,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI PDI-P,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1416,15,HASMELY HASAN,KUALA TUNGKAL ,18/03/1968,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI PDI-P,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1417,15,"H. ABDULLAH, SE",PEMATANG LUM,12/08/65,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI PDI-P,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1418,15,HAMDANI,KAMPUNG BARU,11/03/68,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI PDI-P,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1419,15,H.M. ZULDI IKROM,KUALA TUNGKAL ,18/09/1965,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI PDI-P,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1420,15,"SYAFRIZAL LUBIS, SH",KUALA TUNGKAL ,18/07/1977,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI GOLKAR,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1421,15,DEDI HADI,PALEMBANG    ,10/03/77,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI GOLKAR,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1422,15,"OMBING SUKIMAN, S.IP",SEI. ROTAN      ,17/07/1955,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI GOLKAR,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1423,15,BUDI AZWAR,PELABUHAN DAGANG     ,08/08/77,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI GOLKAR,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1424,15,"AMBO ANGKA, SH",KUALA TUNGKAL ,15/03/1967,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI GERINDRA,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1425,15,ALAMSYAH,MERLUNG       ,04/05/76,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI GERINDRA,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1426,15,ZULKARNAIN SUCIPTO SIANIPAR,KISARAN        ,03/06/70,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI GERINDRA,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1427,15,"J. SIMAMORA, SE",SUMATERA UTAR,16-02-1956,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI GERINDRA,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1428,15,ASSEK,KUALA TUNGKAL ,21/09/1975,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI GERINDRA,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1429,15,"JAMAL DARMAWAN SIE, SE, MM",KUALA TUNGKAL ,20/07/1975,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI DEMOKRAT - HANURA,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1430,15,"H. ABDUL HALIM USMAN, SH",TELUK NILAU    ,08/03/61,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI DEMOKRAT - HANURA,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1431,15,H. NAZARUDDIN,TANJUNG SENJULANG       ,26/09/1968 ,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI PAN,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1432,15,"H. REDWAR M.NUR, SE",KUALA TUNGKAL ,07/01/63,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI PAN,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1433,15,"HJ. YENNIE, SE",KUALA TUNGKAL ,24/04/1968,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI PAN,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1434,15,ADAM,DUSUN KEBUN  ,10/10/78,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI PAN,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1435,15,"SUHATMERI, SH",KUALA TUNGKAL ,16/10/1959,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI PAN,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1436,15,H. MUHAMMAD NASIR,KUALA TUNGKAL ,25/04/1953,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI GOLKAR,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1437,15,"H. SYAIFUDDIN, SE",KUALA TUNGKAL ,07/08/67,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI PAN,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1438,15,"HERRY JUANDA, SH",JAMBI          ,08/04/77,ANGGOTA DPRD KAB. TANJUNG JABUNG BARAT,FRAKSI DEMOKRAT - HANURA,"JL. PROF. DR. SRI SOEDEWI.MS, SH TELP. (0742) - 21193",
1439,15,,,,,,,
1440,15,"YUDI HARIYANTO, EY",MUARA SABAK,01-07-1975,,Partai NasDem,MA. SABAK ILIR RT.03. RW.02 (740-737-0010),Tanjung Jabung Timur 1
1441,15,MARKABAN,TALANG BABAT,17-06-1968,,PDI Perjuangan,TALANG BABAT RT.05 RW.02  (740-737-0010),Tanjung Jabung Timur 1
1442,15,"MUHAMMAD NASIR, S.Si",SIMBUR NAIK,20-12-1974,,Partai Gerindra,SIMBUR NAIK RT.07 (740-737-0010),Tanjung Jabung Timur 1
1443,15,H.ANWAR,SUNGAI ULAR,24-04-1980,,Partai Demokrat,LAMBUR LUAR RT.01 (740-737-0010),Tanjung Jabung Timur 1
1444,15,"H. ROMI HARIYANTO, SE",JAMBI,03-11-1974,,Partai Amanat Nasional,RANO RT.09  (740-737-0010),Tanjung Jabung Timur 1
1445,15,"JAMIL AKBAR, SE",TANJAB,24-11-1977,,Partai Amanat Nasional,THEHOK RT.18 RW.09  (740-737-0010),Tanjung Jabung Timur 1
1446,15,"EFIRIZAL, SH",KAMPUNG LAUT,20-06-1970,,Partai Amanat Nasional,KAMPUNG LAUT RT.06 RW.01  (740-737-0010),Tanjung Jabung Timur 1
1447,15,"MUHAMMAD ARIS, S.Kom",SIMBUR NAIK,27-02-1988,,Partai Amanat Nasional,SIMBUR NAIK RT.14 (740-737-0010),Tanjung Jabung Timur 1
1448,15,"FIRMANSA AYUSDA, S.Pd.I",LAMBUR,19-01-1985,,Partai Amanat Nasional,LAMBUR RT.04  (740-737-0010),Tanjung Jabung Timur 1
1449,15,ABDUL GAFUR,MUARA SABAK,13-09-1979,,Partai Hati Nurani Rakyat,MUARA SABAK ILIR RT.02  (740-737-0010),Tanjung Jabung Timur 1
1450,15,SUROTO,SURABAYA,15-01-1973,,Partai Bulan Bintang,RANTAU INDAH RT.06 RW.02  (740-737-0010),Tanjung Jabung Timur 1
1451,15,JOYO KAMIN,TANJAB,19-06-1980,,Partai NasDem,SK 30 RANTAU JAYA RT.20 (740-737-0010),Tanjung Jabung Timur 2
1452,15,ERMEIDA SIRINGO RINGO,SIPALI PALI,15-05-1970,,PDI Perjuangan,BANDAR JAYA RT. 06  (740-737-0010),Tanjung Jabung Timur 2
1453,15,SUPARJO,SLEMAN,28-12-1948,,Partai Golkar,BANDAR JAYA TR.07 (740-737-0010),Tanjung Jabung Timur 2
1454,15,MUJIONO,RANTAU RASAU II,03-03-1972,,Partai Demokrat,RANTAU RASAU II RT.05 (740-737-0010),Tanjung Jabung Timur 2
1455,15,RUSDIANTO. MS,SUNGAI JAMBAT,13-12-1971,,Partai Amanat Nasional,SUNGAI JAMBAT RT.11 (740-737-0010),Tanjung Jabung Timur 2
1456,15,Hj. SRI NINGSIH PUSPITA,JAMBI,19-12-1973,,Partai Amanat Nasional,NIPAH PANJANG II RT. 03 RW.03 (740-737-0010),Tanjung Jabung Timur 2
1457,15,YUDI,NIPAH PANJANG,25-06-1972,,Partai Amanat Nasional,NIPAH PANJANG I RT.01 RW.01 (740-737-0010),Tanjung Jabung Timur 2
1458,15,"NUGRAHA SETIAWAN, S.IP",DABO SINGKEP,21-07-1989,,Partai Amanat Nasional,SUNGAI LOKAN RT.01 RW.01  (740-737-0010),Tanjung Jabung Timur 2
1459,15,"KAHARUDDIN, SH",NIPAH PANJANG,01-01-1977,,Partai Amanat Nasional,NIPAH PANJANG II RT.004 RW.005  (740-737-0010),Tanjung Jabung Timur 2
1460,15,DESMAYERTI,NIPAH PANJANG,20-12-1975,,Partai Hati Nurani Rakyat,NIPAH PANJANG II RT.03 RW.06  (740-737-0010),Tanjung Jabung Timur 2
1461,15,"GATOT SUMARTO, SH",BOYOLALI,01-06-1961,,PDI Perjuangan,KOTA BARU RT.02 (740-737-0010),Tanjung Jabung Timur 3
1462,15,Drs. H. MUSTAKIM,MENDAHARA,12-10-1968,,Partai Golkar,PEMATANG RAHIM RT.06  (740-737-0010),Tanjung Jabung Timur 3
1463,15,H. ROBBY NAHLIYANSYAH,KUALA TUNGKAL,21-07-1983,,Partai Amanat Nasional,SUNGAI TAWAR RT.003 (740-737-0010),Tanjung Jabung Timur 3
1464,15,"HARMAH, S.Pd",LAGAN TENGAH,16-06-1973,,Partai Amanat Nasional,LAGAN ILIR RT 02 RW.01  (740-737-0010),Tanjung Jabung Timur 3
1465,15,MAHRUP,JAWA TIMUR,25-07-1977,,Partai Amanat Nasional,PANDAN JAYA RT.06 RW.01 (740-737-0010),Tanjung Jabung Timur 3
1466,15,NURWAHIDAH,TEMBILAHAN,25-04-1978,,Partai Amanat Nasional,PEMATANG RAHIM RT.008 (740-737-0010),Tanjung Jabung Timur 3
1467,15,ARYANDY,MENDAHARA ILIR,02-03-1982,,Partai Amanat Nasional,HANDIL JAYA RT.013  (740-737-0010),Tanjung Jabung Timur 3
1468,15,"H. HAMZAH, SH",MENDAHARA ILIR,14-07-1973,,Partai Hati Nurani Rakyat,MENDAHARA ILIR RT.23 RW.01  (740-737-0010),Tanjung Jabung Timur 3
1469,15,"AHMAD FADILLAH, SE",MUARA SABAK,30-08-1969,,Partai Bulan Bintang,PANDAN JAYA RT.06 RW.01 (740-737-0010),Tanjung Jabung Timur 3
1470,16,"H.IIS HARIYANTO, S.IP",Sei Rebo,17 Juli 1980,Ketua Fraksi Golkar,Partai Golkar,"Jl. Selatan No.93 LK.I RT.04 Sei Rebo, Kec Banyuasin I",
1471,16,"SUISTIQLAL EFFENDI, SE.,M.Si",Semuntul,15 Juli 1978,Wakil Ketua Fraksi Golkar,Partai Golkar,"Jl. Masjid Rt.11 Gasing, Talang kelapa,",
1472,16,"IRIAN SETYAWAN, SH.,M.Si",Sungsang,20 Agustus 1972,Sekretaris Fraksi Golkar,Partai Golkar,"Jl. A.Yani lr Buyut Mas, Sungsang IV, Kec BA II",
1473,16,H. AGUS  SALAM,Sei Rebo,5 April 1967,Anggota Fraksi Golkar,Partai Golkar,Ds.Sungai Rebo RK.II RT.9 Kec.BA I,
1474,16,"LILI ANTALA DEWA, SH",Banyuasin,29 Desember 1967,Anggota Fraksi Golkar,Partai Golkar,"Jl. Palembang-Betung KM.19 No.101 B, RT.13 RW.13 Kel Air Batu Kec. Talng Kelapa",
1475,16,HERAWATI,Makarti Jaya,2 Januari 1981,Anggota Fraksi Golkar,Partai Golkar,"RT.4 RW.2 LK.II, Makarti Jaya Kec. Makarti Jaya Kab.Banyuasin",
1476,16,FARIDA AHYATI ROCHIM,Banyuwangi,9 Juli,Anggota Fraksi Golkar,Partai Golkar,Desa Wonosari Jalur 9 RT. 05 RW.01 Kec. Pulau Rimau,
1477,16,DAMANG WAHYUNI,Pasuruan,3 April 1970,Anggota Fraksi Golkar,Partai Golkar,"Desa Tirtamulya Kec. Muara Sugihan banyuasin,",
1478,16,ARISA LAHARI,Wajo,25 November 1969,Ketua Fraksi PDI Perjuangan,PDI Perjuangan,"LK.III Rt.09 Kel. Marti Jaya,",
1479,16,JUFRIANTO,-,-,Wakil Ketua Fraksi PDI Perjuangan,PDI Perjuangan,"Desa Sungai Pinang Desa I Rt. 21 No.7 Kec. Rambutan Kab.Banyuasin,",
1480,16,"SUKARDI, SP",Belitang,6 Juli 1977,Sekretaris Fraksi PDI Perjuangan,PDI Perjuangan,"Lr.Buyut Mas, Rt.09 RW.03 Desa Sungsang IV Kec. Banyuasin II Kab.Banyuasin",
1481,16,"MAT NAWIR, SH",Tanjung Pasir,17 Juli 1980,Bendahara Fraksi PDI Perjuangan,PDI Perjuangan,"Jl. Tanjung Pasir, Kec Rantau Bayur Kab.Banyuasin,",
1482,16,"H. ASKOLANI, SH.,MH",Teluk Kijing,23 April 1974,Anggota Fraksi PDI Perjuangan,PDI Perjuangan,Komp.Bukit Nusa Indah Blok M No.4 Jl. Kebun Bunga Km.9 Palembang,
1483,16,NASIR,Makarti Jaya,09/15/72,Anggota Fraksi PDI Perjuangan,PDI Perjuangan,Rt.5 Dusun 02 Desa Banyu Urip Kec. Tanjung Lago Kab.Banyuasin,
1484,16,JUPRIYADI,Danau Cela,9 September 1972,Anggota Fraksi PDI Perjuangan,PDI Perjuangan,Jl. Pembarab M.Roid LK.III Rt 024 RW.006 Kel.Rimba Asam Kec.Betung,
1485,16,"YUAN ARI EFFENDI, SH",Sleman,13 Juni 1975,Ketua Fraksi PAN,Partai Amanat Nasional,"Saleh Agung Kec. Air Salek Kab.Banyuasin,",
1486,16,"ACHMAD NURCHOLIS, S.Sos.I",Plaju,25 November 1975,Wakil Ketua Fraksi PAN,Partai Amanat Nasional,Jl. Tegal Binanggun Lr. Jambu No.216 rt.05,
1487,16,"AHMAD YAMIN, SH",Padang,15 Oktober 1963,Sekretaris Fraksi PAN,Partai Amanat Nasional,Komplek Azhar Blok C5 Rt.15 rw.09 No.17 Jl. Belimbing,
1488,16,"HERYADI.HM YUSUF, SP",Lubuk Karet,17 Januari 1972,Anggota Fraksi PAN,Partai Amanat Nasional,"Jl. Palembang-Betung No.184, Rt.06 Rw.02 Dusun II Desa Lubuk Karet Kec.Betung",
1489,16,"JOKO AMINOTO, S.IP",Cinta Manis,7 Juli 1971,Anggota Fraksi PAN,Partai Amanat Nasional,"Jalur 8 Telang, RT.22/07 Desa Telang Jaya Kec. Muara Telang",
