id,question_text,relevant_laws_regulations,relevant_text,question_answer,tags,category
22,"Dalam berkampanye, sumber dana  paslon berasal darimana?",UU No 8 tahun 2015 Pasal 74,"(1) Dana Kampanye pasangan calon yang diusulkan Partai Politik atau gabungan Partai Politik dapat diperoleh dari: a. sumbangan Partai Politik dan/atau gabungan Partai Politik yang mengusulkan pasangan calon; dan/atau
b. sumbangan pihak lain yang tidak mengikat yang meliputi sumbangan perseorangan dan/atau badan hukum swasta.
(2) Dana Kampanye pasangan calon perseorangan dapat diperoleh dari sumbangan pihak lain yang tidak mengikat yang meliputi sumbangan perseorangan dan/atau badan hukum swasta.
(3) Partai Politik atau gabungan Partai Politik yang mengusulkan pasangan calon wajib memiliki rekening khusus dana Kampanye atas nama pasangan calon dan didaftarkan kepada KPU Provinsi atau KPU Kabupaten/Kota.
(4) Pasangan calon perseorangan bertindak sebagai penerima sumbangan dana Kampanye sebagaimana dimaksud pada ayat (2) dan wajib memiliki rekening khusus dana Kampanye dan didaftarkan kepada KPU Provinsi atau KPU Kabupaten/Kota.
(5) Sumbangan dana Kampanye sebagaimana dimaksud pada ayat (1) huruf b dan ayat (2) dari perseorangan paling banyak Rp50.000.000,00 (lima puluh juta rupiah) dan dari badan hukum swasta paling banyak Rp500.000.000,00 (lima ratus juta rupiah).
(6) Partai Politik dan/atau gabungan Partai Politik yang mengusulkan pasangan calon dan pasangan calon perseorangan dapat menerima dan/atau menyetujui pembiayaan bukan dalam bentuk uang secara langsung untuk kegiatan Kampanye yang jika dikonversi berdasar harga pasar nilainya tidak melebihi sumbangan dana Kampanye sebagaimana dimaksud pada ayat (5).
(7) Pemberi sumbangan sebagaimana dimaksud pada ayat (5) dan ayat (6) harus mencantumkan identitas yang jelas.
(8) Penggunaan dana Kampanye pasangan calon wajib dilaksanakan secara transparan dan akuntabel.
(9) Pembatasan dana Kampanye Pemilihan ditetapkan oleh KPU Provinsi dan KPU Kabupaten/Kota dengan mempertimbangkan jumlah penduduk, cakupan/luas wilayah, dan standar biaya daerah.","Dana kamapnye paslon terbagi  atas dua sumber yaitu pemerintah dan gabungan partai politik, Dana APBD yang digunakan untuk membiayai beberapa item kampanye seperti alat peraga dan sebagainya sedangkan yang berasala dari gabungan partai politik digunakan untuk pertemuan tatap muka",Kampanye,
23,Siapa saja yang berhak untuk memilih?,UU No 8 tahun 2015 Pasal 95 ayat (1),"(1) Pemilih yang berhak mengikuti pemungutan suara di TPS meliputi:
a. Pemilih yang terdaftar pada daftar Pemilih tetap dan daftar Pemilih tetap tambahan pada TPS yang bersangkutan; dan
b. Pemilih yang terdaftar pada daftar Pemilih tambahan.",Pemilih yang berhak memilih dan mengikuti pemungutan suara adalah Pemilih yang terdaftar pada DPT dan Daftar Pemilih Tetap Tambahan  pada TPS yang bersangkutan dan Pemilih yang terdaftar pada pemilih tambahan.,PemilihPemilukada,
24,"Apabila tidak terdaftar, apakah pemilih dapat memilih di TPS lainnya?",UU No 8 tahun 2015 Pasal 95 ayat (2),2) Pemilih sebagaimana dimaksud pada ayat (1) dapat menggunakan haknya untuk memilih di TPS lain dengan menunjukkan surat pemberitahuan dari PPS untuk memberikan suara di TPS lain.,Pemilih dapat memilih dengan menunjukkan surat pemberitahuan dari PPS untuk memberikan suara di TPS Lainnya.,PemilihPemilukada,
25,Kapan penghitungan suara dimulai  dan apa saja yang dilakukan oleh KPPS?,UU No 8 tahun 2015 Pasal 98,"(1) Penghitungan suara di TPS dilakukan oleh KPPS setelah pemungutan suara berakhir.
(2) Sebelum penghitungan suara dimulai, KPPS menghitung:
a. jumlah Pemilih yang memberikan suara berdasarkan salinan daftar Pemilih tetap untuk TPS;
b. jumlah Pemilih dari TPS lain;
c. jumlah Pemilih yang menggunakan dasar Kartu Tanda Penduduk Elektronik, kartu keluarga, paspor, dan/atau identitas lain sesuai dengan ketentuan peraturan perundang-undangan; d. jumlah surat suara yang tidak terpakai; dan
e. jumlah surat suara yang dikembalikan oleh Pemilih karena rusak atau keliru ditandai.","Penghitungan suara di KPPS dimulai setelah pemungutan suara berakhir. Dan yang dihitung adalah a. jumlah Pemilih yang memberikan suara berdasarkan salinan daftar Pemilih tetap untuk TPS;
b. jumlah Pemilih dari TPS lain;
c. jumlah Pemilih yang menggunakan dasar Kartu Tanda Penduduk Elektronik, kartu keluarga, paspor, dan/atau identitas lain sesuai dengan ketentuan peraturan perundang-undangan; d. jumlah surat suara yang tidak terpakai; dan
e. jumlah surat suara yang dikembalikan oleh Pemilih karena rusak atau keliru ditandai.",Rekapitulasi,
26,"Komisi Pemilihan Umum wajib mengumumkan  Informasi Publik secara berkala pada website resmi KUP, KPU povinsi/ KIP Aceh, dan KPU/KIP Kabupaten/Kota. Berapakah jenjang waktu yang dilakukan untuk    mengupdate informasi publik tersebut?",Undang-Undang No. 1 Tahun 2005 Bab 4 Pasal 10,"Komisi Pemilihan Umum wajib mengumumkan  Informasi Publik secara berkala pada website resmi KUP, KPU Provinsi/KIP Aceh, dan KPU/KIP Kabupaten/Kota dan/ atau papan pengumuman. Paling sedikit 1 kali dalam setahun, dan paling singkat 6 bulan sekali","Paling sedikit 1 kali dalam setahun, dan paling singkat 6 bulan sekali",InformasiPublik,
27,"  Informasi apakah yang disajikan oleh KPU/KPU Provinsi/KIP Aceh, dan KPU/KIP Kabupaten/Kota yang wajib  informasikan secara berkala kepada publik: ",Undang-Undang No. 1 Tahun 2005 Bab 4 Pasal 11,"Informasi apakah yang disajikan oleh KPU/KPU Provinsi/KIP Aceh, dan KPU/KIP Kabupaten/Kota yang wajib  informasikan secara berkala kepada publik: 

a.  Profil KPU, KPU Provinsi/KIP Aceh, dan KPU/KIP Kabupaten/Kota serta Sekretariat Jenderal KPU, Sekretariat KPU Provinsi/KIP Aceh, dan Sekretariat KPU/KIP Kabupaten/Kota
b.  Ringkasan informasi tentang program dan/ atau kegiatan yang sedang dijalankan dalam lingkup KPU Provinsi/KIP Aceh, dan KPU/KIP Kabupaten/Kota serta Sekretariat Jenderal KPU, Sekretariat KPU Provinsi/KIP Aceh, dan Sekretariat KPU/KIP Kabupaten/Kota
c.  Ringkasan informasi tentang kinerja dalam lingkup KPU Provinsi/KIP Aceh, dan KPU/KIP Kabupaten/Kota serta Sekretariat Jenderal KPU, Sekretariat KPU Provinsi/KIP Aceh, dan Sekretariat KPU/KIP Kabupaten/Kota berupa Laporan Akuntabilitas Kinerja Instansi Pemerintah (LAKIP) dan Penetapan Kinerja (TAPKIN).
d.  Ringkasan laporan keuangan yang sudah diaudit
e.  Ringkasan laporan akses Informasi Publik 
f.  Informasi tentang peraturan, keputusan, dan/atau kebijakan yang mengikat dan/atau berdampak bagi publik yang dikeluarkan oleh KPU.
g.  Standar operasional prosedur tentang pelayanan informasi di lingkungan KPU
h.  Informasi tentang pengumuman pengadaan barang dan jasa sesuai dengan peraturan per undang-undangan yang berlaku
","Informasi yang disajikan KPU terdiri dari Profil KPU, Ringkasan Informasi tentang Program, Ringkasan Informasi tentang Kinerja KPU, Ringkasan Laporan Keuangan yang sudah diaudit, laporan akses Informasi Publik, Informasi Tentang Peraturan, Standar Operasionan dan Pengadaan Barang",InformasiPublik,
28,"Apakah ada Informasi Publik yang dikecualikan, atau tidak oleh KPU/KPU Provinsi/KIP Aceh, dan KPU/KIP Kabupaten/Kota yang tidak boleh diinformasikan kepada publik",Undang-Undang No. 1 Tahun 2005 Bab 5 Pasal 18,"Informasi Publik yang dikecualikan, atau tidak oleh KPU/KPU Provinsi/KIP Aceh, dan KPU/KIP Kabupaten/Kota yang tidak boleh diinformasikan kepada publik: 

a. Informasi Publik yang apabila dibuka dan diberikan kepada Pemohon Informasi Publik dapat menghambat penegakan hukum
b. Informasi Publik yang apabila dibuka dan diberikan kepada Pemohon Informasi Publik dapat mengungkap rahasia pribadi
c. Informasi publik yang apabila dibuka dan diberikan kepada pemohon informasi publik dapat mengungkap rahasia jabatan
d. Memorandum atau surat-surat antar KPU atau intra KPU yang menurut sifatnya dirahasiakan kecuali atas putusan Komisi Informasi atau pengadilan dan/ atau
e. Informasi yang tidak boleh diungkapkan berdasarkan Undang-Undang 
","Informasi Publik yang tidak boleh diinformasikan kepada Publik  adalah informasi yang jika dibuka kepada publik dapat menghambat penegakan hukum, mengungkap rahasia pribadi, mengungkap rahasia jabatan, sifatnya dirahasiakan dan tidak bolah diungkap berdasarkan undang undang",InformasiPublik,
29,"Penyelenggaraan Pemilihan Gubernur dan Wakil Gubernur, Bupati dan Wakil Bupati, dan/ atau Walikota dan Wakil Walikota Berpedoman pada tahapan, program dan jadwal.  Bagaimanakah tahapannya",NOMOR 2 TAHUN 2015   Bab 2 Pasal 3 dan 4,"Penyelenggaraan Pemilihan Gubernur dan Wakil Gubernur, Bupati dan Wakil Bupati, dan/ atau Walikota dan Wakil Walikota Berpedoman pada tahapan, program dan jadwal. Tahapan Pemilihan yang dimaksud terdiri dari Tahapan Persiapan dan  Tahapan Penyelenggaraan","Tahapan Penyelenggaraan Pemilihan Gubernur dan Wakil Gubernur, Bupati dan Wakil Bupati, dan/ atau Walikota dan Wakil Walikota Berpedoman pada tahapan, program dan jadwal. Tahapan Pemilihan yang dimaksud terdiri dari Tahapan Persiapan dan  Tahapan Penyelenggaraan",PenyelenggaraanPemilu,
30,"Bagaimanakah Rincian Tahap Persiapan  Pemilihan Gubernur dan Wakil Gubernur, Bupati dan Wakil Bupati, dan/ atau Walikota dan Wakil Walikota  ",NOMOR 2 TAHUN 2015   Bab 2 Pasal 5 ,"Tahapan Persiapan Terdiri Dari

a. Perencanaan program dan anggaran 
b. Penyusunan peraturan penyelenggaraan pemilihan
c. Sosialisasi, penyuluhan dan bimbingan teknis
d. Pembentukan PPK, PPS dan KPPS
e. Pendaftaran Pemantau Pemilihan
f. Pengolahan Daftar Penduduk Potensial Pemilih Pemilihan (DP4); dan
g. Pemutakhiran data dan daftar pemilih
","Tahapan Persiapan terdiri dari perencanaan program dan anggaran, penyusunan penyelenggaraan pemerintahan, sosialisasi, pembentukan PPK, PPS dan KPPS. Pendaftaran Pemantau Pemilihan, Pengolahan DP4 dan Pemutakhiran Data",TahapanPersiapan,
31,"Bagaimanakah Rincian Tahapan Penyelenggaraan Pemilihan Gubernur dan Wakil Gubernur, Bupati dan Wakil Bupati, dan/ atau Walikota dan Wakil Walikota  ",NOMOR 2 TAHUN 2015   Bab 2 Pasal 6 ,"Rincian Tahapan Penyelenggaraan Pemilu adalah:
a. Pencalonan
b. Sengketa Tata Usaha Negara Pemilihan
c. Kampanye
d. Laporan dan audit dana kampanye
e. Pengadaan dan pendistribusian perlengkapan pemungutan dan penghitungan suara
f. Pemungutan dan penghitungan suara
g. Rekapitulasi hasil penghitungan suara
h. Penetapan rakapitulasi hasil penghitungan suara
i. Penetapan dan pengumuman pasangan calon terpilih tidak ada permohonan perselisihan hasil pemeilihan
j. Sengketa perselisihan hasil pemilihan
k. Penetapan dan pengumuman Pasangan Calon terpilih paska putusan Mahkamah Konstitusi
l. Pengusulan pengesahan pengangkatan Pasangan Calon terpilih
m. Evaluasi dan pelaporan","Rincian Tahapan Penyelenggaraan Pemilu:
1) Pencalonan, Sengketa Tata Usaha Negara Pemilihan
2) Kampanye, laporan dan audit dana kampaney
3) Pengadaan dan pendistribusian perlengkapan dan
4) pemungutan suara, Pemungutan dan penghitungan
5) suara, rakapitulasi hasil, penetapatan rakapitulasi hasil
6) penetapan pasangan calon, penetapan dan pengumuman
7) pasangan calon, pengusulan pengesahan
8) Evaluasi dan pelaporan",TahapanPenyelenggaraan,
32,"Tugas, wewenang dan kewajiban KPU dalam penyelenggaraan pemilihan umum meliputi:",NOMOR 3 TAHUN 2015   Bab 2 Pasal 5 ,"Tugas, wewenang dan kewajiban KPU dalam penyelenggaraan pemilihan umum meliputi
a. Menetapkan kebijakan tahapan, program, jadwal dan kebutuhan anggaran pemilihan sesuai dengan ketentuan peraturan perudang-undangan
b. Menyusun dan menetapkan peraturan untuk setiap tahapan pemilihan setelah berkonsultasi dengan Dewan Perwakilan Rakyat dan Pemerintah
c. Mengkoordinasi dan memantau tahapan pemilihan yang diselenggarakan oleh KPU Provinsi/KIP Aceh dan KPU/KIP Kabupaten/Kota
d. Melakukan supervisi, memberikan arahan dan konsultasi, asistensi, dan klarifikasi kepada KPU Provinsi/KIP Aceh dan KPU/KIP Kabupaten/Kota dalam tahapan penyelenggaraan Pemilihan
e. Melakukan evaluasi tahunan penyelenggaraan Pemilihan
f.  Menerima laporan periodik, laporan pertanggungjawaban dan laporan hasil pemilihan dari KPU Provinsi/KIP Aceh, KPU/KIP Kabupaten/Kota; PPK, PPS, KPPS dan petugas pemutakhiran data Pemilih, melalui KPU/KIP Kabupaten/Kota
g. Melaksanakan tugas, wewenang dan kewajiban lain dalam penyelenggaraan Pemilihan sesuai dengan ketentuan perundang-undangan
h. Mengenakan sanksi administratif dan/atau menonaktifkan sementara anggota KPU Provinsi/KIP Aceh yang terbukti melakukan tindakan yang mengakibatkan terganggunya tahapan penyelenggaraan Pemilihan Umum berdasarkan rekomendasi Bawaslu dan/atau ketentuan perundang-undangan.","Tugas, wewenang dan kewajiban KPU dalam penyelenggaraan pemilihan umum meliputi
a. Menetapkan kebijakan tahapan, program, jadwal dan kebutuhan anggaran pemilihan sesuai dengan ketentuan peraturan perudang-undangan
b. Menyusun dan menetapkan peraturan untuk setiap tahapan pemilihan setelah berkonsultasi dengan Dewan Perwakilan Rakyat dan Pemerintah
c. Mengkoordinasi dan memantau tahapan pemilihan yang diselenggarakan oleh KPU Provinsi/KIP Aceh dan KPU/KIP Kabupaten/Kota
d. Melakukan supervisi, memberikan arahan dan konsultasi, asistensi, dan klarifikasi kepada KPU Provinsi/KIP Aceh dan KPU/KIP Kabupaten/Kota dalam tahapan penyelenggaraan Pemilihan
e. Melakukan evaluasi tahunan penyelenggaraan Pemilihan
f.  Menerima laporan periodik, laporan pertanggungjawaban dan laporan hasil pemilihan dari KPU Provinsi/KIP Aceh, KPU/KIP Kabupaten/Kota; PPK, PPS, KPPS dan petugas pemutakhiran data Pemilih, melalui KPU/KIP Kabupaten/Kota
g. Melaksanakan tugas, wewenang dan kewajiban lain dalam penyelenggaraan Pemilihan sesuai dengan ketentuan perundang-undangan
h. Mengenakan sanksi administratif dan/atau menonaktifkan sementara anggota KPU Provinsi/KIP Aceh yang terbukti melakukan tindakan yang mengakibatkan terganggunya tahapan penyelenggaraan Pemilihan Umum berdasarkan rekomendasi Bawaslu dan/atau ketentuan perundang-undangan.",TugasWewenangdanKewajibanKPU,
33,"Berapakah batas waktu yang diberikan kepada pemerintah untuk menyampaikan DP4 yang telah dikonsolidasi, diverivikasi dan divalidasi kepada KPU?",NOMOR 4 TAHUN 2015   Bab 3 Pasal 6 ,"Batas waktu yang diberikan kepada pemerintah untuk menyampaikan DP4 yang telah dikonsolidasi, diverivikasi dan divalidasi kepada KPU paling lambat enam bulan sebelum hari pemungutan suara","Batas waktu yang diberikan kepada pemerintah untuk menyampaikan DP4 yang telah dikonsolidasi, diverivikasi dan divalidasi kepada KPU paling lambat enam bulan sebelum hari pemungutan suara",PenyerahanDP4,
34,Sebutkan jenis perlengkapan yang dibutuhkan untuk Pemungutan Suara:,NOMOR 6 TAHUN 2015   Bab 2 Pasal 4 ,"Jenis pelengkapan yang dibutuhkan untuk pemungutan suara:
a. Kotak Suara
b. Surat Suara
c. Tinta
d. Bilik Pemungutan Suara
e. Segel
f. Alat Untuk memberi tanda pilihan
g. TPS","Jenis pelengkapan yang dibutuhkan untuk pemungutan suara:
a. Kotak Suara
b. Surat Suara
c. Tinta
d. Bilik Pemungutan Suara
e. Segel
f. Alat Untuk memberi tanda pilihan
g. TPS",PerlengkapanPemungutanSuara,
35,"Setiap pasangan calon mempunyai hak, kesempatan, dan perlakuan yang adil dan setara dalam Kampanye. Bagaimanakah prinsip-prinsip dalam berkampanye:",NOMOR 7 TAHUN 2015   Bab 1 Pasal 4 ,"Prinsip-Prinsip dalam berkampanye: Jujur, terbuka dan dialogis","Prinsip-Prinsip dalam berkampanye: Jujur, terbuka dan dialogis",PrinsipKampanye,
36,Pelaksanaan Kampanye yang dilaksanakan oleh KPU Provinsi/KIP Aceh atau KPU/KIP Kabupaten Kota dilaksanakan dengan metode:,NOMOR 7 TAHUN 2015   Bab 2 Pasal 5 ,"Pelaksanaan Kampanye yang dilaksanakan oleh KPU Provinsi/KIP Aceh atau KPU/KIP Kabupaten Kota dilaksanakan dengan metode
a. Debat publik atau debat terbuka antar pasangan calon
b. Penyebaran Bahan Kampanye kepada Umum
c. Pemasangan Alat Peraga Kampanye
d. Iklan di media massa cetak dan/atau media massa elektronik","Metode berkampanye dapat dilakukan dengan debat publik penyebaran bahan kampanye, pemasangan alat peraga dan iklan di media masa",MetodeKampanye,
37,"Dana Kampanye Pasangan Calon dari Partai Politik atau Gabungan Partai Politik, bersumber dari",NOMOR 8 TAHUN 2015   Bab 2 Pasal 4,"Dana Kampanye Pasangan Calon dari Partai Politik atau Gabungan Partai Politik, bersumber dari
a. Pasangan Calon
b. Partai Poltik atau Gabungan Partai Politik Pengusul dan/atau
c. Sumbangan yang sah menurut hukum dari pihak lain","Sumber dana kampanye dapat berasal dari pasangan calon, partai politik atau gabungan partai politik dan sumbangah yang sah menurut undang-undang",DanaKampanye,
38,Pasangan Calon wajib menyusun dan menyampaikan laporan dana kampanye yang terdiri atas:,NOMOR 8 TAHUN 2015   Bab 2 Pasal 21,"Pasangan Calon wajib menyusun dan menyampaikan laporan dana kampanye yang terdiri atas:
a. LDK (Laporan Dana  Awal Kampanye)
b. LPSDK (Laporan Penerimaan Sumbangan Dana Kampanya
c. LPPDK (Laporan Penerimaan dan Pengeluaran Dana Kampanye","Pasangan Calon wajib menyusun dan menyampaikan laporan dana kampanye yang terdiri atas Laporan Dana 
1) Awal Kampanye, Laporan Penerimaan  sumbangan Dana
2) Kampanye dan Laporan Penerimaan dan Pengeluaran
3) Dana Kampanye
",DanaKampanye,
39,Berapakah usia paling rendah Calon Gubernur dan Wakil Gubernur  dan usia paling rendah Untuk Calon Bupati dan Calon Wakil Bupati,NOMOR 9 TAHUN 2015   Bab 2 Pasal 4,"usia paling rendah Calon Gubernur dan Wakil Gubernur  dan usia paling rendah Untuk Calon Bupati dan Calon Wakil Bupati

30 Tahun untuk Calon Gubernur dan Wakil Gubernur
25 Tahun untuk Calon Bupati dan Wakil Bupati",usia paling rendah Calon Gubernur dan Wakil Gubernur adalah 30 Tahun  dan usia paling rendah Untuk Calon Bupati dan Calon Wakil Bupati adalah 25 Tahun,BatasUsiaCalon,
