id,question,answer,reference_law,excerpt_law
037,Apakah ada alat yang memudahkan saya sebagai tuna netra dalam memilih?,Ya ada. Tiap TPS akan menyediakan template/kertas suara dengan format braille,UU No. 10 Tahun 2008 Pasal 142 ayat 2 & PKPU No.35 thn 2008 pasal 8 ayat 3,"UU 10/2008 Pasal 142: (2). Selain perlengkapan pemungutan suara sebagaimana dimaksud pada ayat 1, untuk menjaga keamanan, kerahasian, dan kelancaran pelaksanaan pemungutan suara dan penghitungan suara, diperlukan dukungan perlengkapan lainnya. PKPU 35/2008 Pasal 8 (3): Selain perlengkapan pemungutan dan penghitungan suara di TPS sebagaimana dimaksud pada ayat 2, KPU Kabupaten/Kota juga menyerahkan kepada KPPS melalui PPK/PPS dukungan perlengkapan pemungutan suara lainnya, yaitu sampul kertas, tanda pengenal KPPS dan saksi, karet pengikat surat suara, lem/perekat, kantong plastik, D38gembok, spidol, formulir untuk berita acara dan sertifikat, stiker nomor kotak suara, tali pengikat alat pemberi tanda pilihan, dan alat bantu tuna netra."
038,"Saya menggunakan kursi roda, apakah TPS dapat dilewati orang berkursi roda?",Tiap TPS akan disesuaikan dengan ketentuan peraturan KPU seperti terjamin aksesnya dan aman bagi pemilih,PKPU No.35 thn 2008 pasal 19 bagian m & pasal 21 ayat 1,"PKPU 35/2008 pasal 19 m: meja/papan untuk menempatkan bilik suara dan untuk pemberian tanda pada surat suara, dan meja berongga (ruang kosong dibawahnya) khusus untuk penyandang cacat yang menggunakan kursi roda. Pasal 21 (1): Pintu masuk dan keluar TPS sebagaimana dimaksud pada ayat 1 Berukuran sekurang – kurangnya 90cm agar dapat menjamin akses gerak bagi penyandang cacat yang menggunakan kursi roda."
039,"Saya menggunakan tongkat/kruk, apakah TPS dapat dilewati orang bertongkat/kruk?",Tiap TPS akan disesuaikan dengan ketentuan peraturan KPU seperti terjamin aksesnya dan aman bagi pemilih,PKPU No.35 thn 2008 pasal 22 ayat 1,"Pasal 22: (1) lokasi TPS harus mudah dijangkau, di tempat yang rata tidak berbatu – batu, tidak berbukit – bukit, tidak berumput tebal, tidak melompati parit dan tidak bertangga – tangga"
040,Bagaimana kerahasiaan pilihan saya jika saya ditemani pendamping saat memilih?,"Peraturan telah menjamin kerahasiaan pilihan setiap orang, bagi yang melanggar hal tersebut akan dikenakan sanksi sesuai ketentuan yang berlaku",UU No. 10 Tahun 2008 pasal 156 ayat 2 & pasal 164 ayat 2 & PKPU No.35 thn 2008 pasal 31 ayat 3,"UU 10/2008 pasal 156 (2): Orang lain yang membantu pemilih dalam memberikan suaranya sebagaimana di maksud pada ayat (1 ) wajib merahasikan pilihan pemilih. Pasal 164 (2): Orang lain yang membantu pemilih dalam memberikan suaranya sebagaimana di maksud pada ayat (1 ) wajib merahasikan pilihan pemilih. PKPU 35/2008 pasal 31 (3): Anggota KPPS dan orang lain yang membantu pemilih tunanetra, tunadaksa, atau yang mempunyai halangan fisik lain sebagaimana dimaksud pada ayat (1) dan ayat (2), wajib merahasiakan pilihan pemilih yang bersangkutan, dan wajib menandatangani surat pernyataan dengan menggunakan formulir Model C5."
041,Bisakah saya mendaftar menjadi pemantau pemilu perseorangan?,"Bisa, asalkan memenuhi persyaratan dan melakukan pendaftaran di KPU, KPU Provinsi, KPU Kab/Kota sesuai dengan cakupan pemantauan yg diinginkan.",PKPU Nomor 10 tahun 2012 pasal 2 ayat (2),"""Pemantau Pemilu dapat berasal dari perseorangan dalam negeri yang tidak berkedudukan sebagai pengurus dan/atau anggota partai politik, serta perseorangan dari luar negeri."""
042,Saya adalah WNI yang ingin menjadi pemantau pemilu. Apa saja syarat yang harus saya penuhi?,"Untuk pemantau pemilu dalam negeri cukup memenuhi persyaratan umum saja, yaitu independen, mempunyai sumber dana yg jelas, serta mendaftar dan memperoleh akreditasi dari KPU.",PKPU Nomor 10 tahun 2012 pasal 3,"""Pemantau Pemilu sebagaimana dimaksud dalam Pasal 2, wajib memenuhi syarat :\na. bersifat independen;\nb. mempunyai sumber dana yang jelas, dan\nc. terdaftar dan memperoleh akreditasi dari KPU, KPU Provinsi dan KPU Kabupaten/Kota sesuai dengan cakupan wilayah pemantauannya."""
043,Apakah Pemantau pemilu dapat berasal dari partai?,Pemantau pemilu tidak boleh berasal dari partai politik,PKPU Nomor 10 tahun 2012 pasal 2 ayat (2),"""Pemantau Pemilu dapat berasal dari perseorangan dalam negeri yang tidak berkedudukan sebagai pengurus dan/atau anggota partai politik, serta perseorangan dari luar negeri."""
044,Apakah untuk menjadi pemantau pemilu tahun 2014 harus mempunyai pengalaman menjadi pemantau pada pemilu sebelumnya?,"Untuk pemantau pemilu yg berasal dari dalam negeri, tidak perlu memiliki pengalaman menjadi pemantau pada pemilu sebelumnya. Namun pemantau pemilu yg berasal dari luar negeri wajib memiliki kompetensi dan pengalaman melakukan pemantauan dan harus dibuktikan dengan surat pernyataan.",PKPU Nomor 10 tahun 2012 pasal 4,"Pemantau Pemilu perseorangan yang berasal dari luar negeri selain memenuhi persyaratan sebagaimana dimaksud dalam Pasal 3, wajib memenuhi persyaratan khusus :\na. mempunyai kompetensi dan pengalaman dalam bidang pemantauan pemilu di negara lain yang dibuktikan dengan surat pernyataan pemantau yang bersangkutan, atau dari pemerintah negara lain tempat yang bersangkutan pernah melakukan pemantauan;\nb. memperoleh visa untuk menjadi Pemantau Pemilu dari Perwakilan Republik Indonesia di Luar Negeri;\nc. memenuhi tata cara melakukan pemantauan yang diatur dalam ketentuan peraturan perundang-undangan."
045,"Saya ingin mendaftar menjadi pemantau pemilu, dimana saya bisa mendaftar?","Pemantau pemilu dari dalam negeri melakukan pendaftaran dengan mengisi formulir yang disediakan di KPU, KPU Provinsi dan KPU Kabupaten/Kota. Sedangkan pemantau pemilu dari luar negeri mendaftar di kantor KPU atau kedutaan besar/konsulat RI di negara asalnya.",PKPU Nomor 10 tahun 2012 pasal 6 ayat (1) dan (2),"(1) Pemantau Pemilu dari dalam negeri mengajukan permohonan untuk melakukan pemantauan Pemilu dengan mengisi formulir pendaftaran yang disediakan KPU, KPU Provinsi dan KPU Kabupaten/Kota.\n(2) Pemantau Pemilu yang berasal dari luar negeri mengisi formulir yang dapat diperoleh dari kantor KPU atau Kedutaan Besar/Konsulat Republik Indonesia di negara asal pemantau."
046,Apa sih akreditasi pemantau pemilu itu?,Akreditasi itu bentuk pengesahan dan pengakuan dari KPU bahwa pemantau pemilu yg mendaftar sudah memenuhi persyaratan yg ditetapkan.,PKPU Nomor 10 tahun 2012 pasal 1,"Akreditasi adalah pengesahan yang diberikan oleh KPU, KPU Provinsi, dan KPU Kabupaten/Kota kepada Pemantau Pemilu yang telah memenuhi persyaratan yang ditetapkan oleh KPU, KPU Provinsi, dan KPU Kabupaten/Kota."
047,Bagaimana tata cara akreditasi pemantau pemilu?,"Pertama, pemantau pemilu mengisi formulir pendaftaran yg disediakan di KPU, KPU provinsi dan KPU Kab/Kota. Untuk pemantau dari luar negeri, formulir bisa didapat di kedutaan/konsulat RI di negara asalnya. Kedua, pemantau pemilu mengembalikan formulir pendaftaran disertai dengan kelengkapan administrasi yg dibutuhkan. Selanjutnya, KPU akan meneliti kelengkapan administrasi yg diajukan. Pemantau yg sudah memenuhi persyaratan akan diberikan sertifikat akreditasi.",PKPU Nomor 10 tahun 2012 pasal 6-pasal 9,
048,Apakah untuk menjadi pemantau pemilu harus mendapatkan akreditasi dari KPU?,"Ya, karena akreditasi dari KPU merupakan persyaratan wajib untuk menjadi pemantau pemilu.",PKPU Nomor 10 tahun 2012 pasal 3,"""Pemantau Pemilu sebagaimana dimaksud dalam Pasal 2, wajib memenuhi syarat :\na. bersifat independen;\nb. mempunyai sumber dana yang jelas, dan\nc. terdaftar dan memperoleh akreditasi dari KPU, KPU Provinsi dan KPU Kabupaten/Kota sesuai dengan cakupan wilayah pemantauannya."""
049,"Saya sudah mendaftar dan mendapat sertifikat akreditasi dari KPU, sampai kapan sertifikat itu berlaku?","Jika pemantau mengajukan pemantauan untuk seluruh tahapan pemilu, maka akreditasi berlaku sejak diterbitkan sampai penetapan calon terpilih anggota DPR dan DPRD. Namun jika pemantau mengajukan pemantauan tidak untuk seluruh tahapan pemilu, akreditasi berlaku sejak tahapan tertentu, sesuai yg diajukan oleh pemantau.",PKPU Nomor 10 tahun 2012 pasal 8 ayat (3) dan (4),"(3) Akreditasi pemantau Pemilu berlaku sejak diterbitkannya sertifikat akreditasi sampai dengan tahap penetapan calon terpilih Anggota DPR dan DPD, apabila pemantauan diajukan untuk seluruh tahapan Pemilu.\n(4) Akreditasi pemantau Pemilu berlaku sejak diterbitkannya sertifikat akreditasi dan berlaku secara efektif mulai tahapan tertentu, apabila pemantauan diajukan tidak seluruh tahapan Pemilu."
050,Saya sudah mendaftar dan mendapat sertifikat serta tanda terdaftar. Namun saya ingin mengubah cakupan pemantauan. Bisa ga?,"Bisa, untuk merubah wilayah cakupan pemantauan harus melapor dulu kepada pemberi akreditasi.",PKPU Nomor 10 tahun 2012 pasal 7 ayat (2),"Penambahan nama, jumlah dan alokasi anggota pemantau serta penambahan daerah yang akan dipantau sebagaimana dimaksud pada ayat (1) huruf c dan huruf d, dilaporkan kepada pemberi akreditasi."
051,Bisakah warga negara asing mendaftar menjadi pemantau pemilu di Indonesia?,"Bisa, selama warga asing tersebut memenuhi persyaratan umum dan khusus untuk menjadi pemantau pemilu",PKPU Nomor 10 tahun 2012 pasal 2 ayat (2),"""Pemantau Pemilu dapat berasal dari perseorangan dalam negeri yang tidak berkedudukan sebagai pengurus dan/atau anggota partai politik, serta perseorangan dari luar negeri."""
052,Adakah syarat khusus bagi warga asing yang ingin menjadi pemantau pemilu?,"Pemantau pemilu yang berasal dari luar negeri selain wajib memenuhi persyaratan umum juga wajib memenuhi persyaratan khusus , yaitu: mempunyai kompetensi dan pengalaman di bidang pemantauan pemilu yang dibuktikan dengan surat pernyataan, memperoleh visa untuk menjadi pemantau pemilu, dan memenuhi tata cara pemantauan pemilu yg diatur dalam peraturan perundang-undangan.",PKPU Nomor 10 tahun 2012 pasal 4 ayat (2),"""Pemantau Pemilu perseorangan yang berasalal dari luar negeri selain memenuhi persyaratan sebagaimana dimaksud dalam Pasal 3, wajib memenuhi persyaratan khusus :\na. mempunyai kompetensi dan pengalaman dalam bidang pemantauan pemilu di negara lain yang dibuktikan dengan surat pernyataan pemantau yang bersangkutan, atau dari pemerintah negara lain tempat yang bersangkutan pernah melakukan pemantauan;\nb. memperoleh visa untuk menjadi Pemantau Pemilu dari Perwakilan Republik Indonesia di Luar Negeri;\nc. memenuhi tata cara melakukan pemantauan yang diatur dalam ketentuan peraturan perundang-undangan."""
053,Saya ingin mendaftarkan organisasi saya untuk menjadi pemantau pemilu. Organisasi saya tersebar di beberapa provinsi di pulau Jawa dan saya ingin melakukan pemantauan di seluruh provinsi tersebut. kemana saya harus mendaftarkan organisasi saya?,Pemantau pemilu dalam negeri yang keberadaannya lintas provinsi mendaftar dan mendapat akreditasi dari KPU Pusat.,PKPU Nomor 10 tahun 2012 pasal 12 ayat (1),"""Pemantau Pemilu dari dalam negeri yang mempunyai struktur organisasi berjenjang dari pusat sampai ke provinsi dan/atau Kabupaten/Kota, yang akan melakukan pemantauan lebih dari 1 (satu) provinsi, mendaftarkan diri dan memperoleh akreditasi dari KPU serta wajib melapor kepada KPU Provinsi dan/atau KPU Kabupaten/Kota yang bersangkutan."""
054,Saya ingin mendaftarkan organisasi saya untuk menjadi pemantau pemilu. Organisasi saya terletak di Derah Istimewa Yogyakarta dan memiliki kantor di seluruh kab/kota. Tapi organisasi saya hanya ingin melakukan pemantauan di beberapa kabupaten saja. Kemana saya harus mendaftarkan organisasi saya?,Pemantau pemilu dalam negeri yang keberadaannya lintas kabupaten/kota mendaftar dan mendapat akreditasi dari KPU provinsi. Anda bisa mendaftar dan mendapat akreditasi di KPU Provinsi DIY dan melapor ke KPU kabupaten/kota tempat Anda ingin melakukan pemantauan.,PKPU Nomor 10 tahun 2012 pasal 12 ayat (2),"(2) Pemantau Pemilu dari dalam negeri yang keberadaan organisasinya hanya ada di 1 (satu) provinsi, atau melakukan pemantauan lebih dari 1 (satu) Kabupaten/Kota dalam 1 (satu) provinsi, mendaftarkan diri dan diakreditasi oleh KPU Provinsi, serta wajib melapor kepada KPU Kabupaten/Kota yang bersangkutan."
055,Saya sudah terdaftar sebagai pemantau pemilu dan mendapatkan tanda pengenal. Untuk apa tanda pengenal itu?,Tanda pengenal digunakan sebagai bukti pemantau pemilu dan harus digunakan selama proses pemantauan,PKPU Nomor 10 tahun 2012 pasal 14 ayat (1),"(1) Anggota Pemantau Pemilu dalam selama melaksanakan tugas pemantauan, menggunakan tanda pengenal pemantauan Pemilu."
056,Apakah tanda pengenal untuk pemantau dari dalam negeri dan pemantau dari luar negeri sama bentuknya?,"Bentuknya sama, tapi warnanya berbeda. Untuk pemantau dalam negeri, warna dasarnya biru tua. Untuk pemantai asing biasa warnanya biru muda, dan pemantau asing diplomat warnanya merah muda.",PKPU Nomor 10 tahun 2012 pasal 16 ayat (4),"(4) Tanda Pengenal Pemantau Pemilu berukuran 10 cm x 5 cm, berwarna dasar biru tua untuk Pemantau Dalam Negeri, biru muda untuk Pemantau Asing Biasa, dan merah muda untuk Pemantau Asing Diplomat."
057,"Saya sudah mendaftar, mendapat akreditasi, melapor ke KPU, dan mendapat tanda pengenal. Apa masih ada yg harus saya lakukan?","Setelah mendaftar, mendapat akreditasi, melapor dan mendapat tanda pengenal, pemantau pemilu wajib melapor di kantor Kepolisian Negara Republik Indonesia di daerah",PKPU Nomor 10 tahun 2012 pasal 19,
058,"Saya sudah terdaftar sebagai pemantau, bolehkah saya melakukan dokumentasi selama pelaksanaan pemilu?","Boleh, karena melakukan dokumentasi adalah salah satu hak dari pemantau pemilu.",PKPU Nomor 10 tahun 2012 pasal 18,
059,"Jika pada saat pelaksanaan pemilu saya menemukan pelanggaran, bolehkah saya melapor kepada Bawaslu?","Boleh, karena melaporkan temuan dan pelanggaran merupakan hak dari pemantau pemilu.",PKPU Nomor 10 tahun 2012 pasal 18,
060,"Setelah proses pemilu selesai, masih adakah kewajiban saya sebagai pemantau?","Setelah proses pemilu, pemantau pemilu wajib membuat laporan dengan format Pendahuluan, Latar Belakang, Tujuan, Pelaksanaan Kegiatan, Temuan Hasil Pemantauan, dan Rekomendasi. Laporan itu kemudian diserahkan pada KPU, KPU Provinsi, dan KPU Kabupaten/Kota.",PKPU Nomor 10 tahun 2012 pasal 19,"""j. melaporkan hasil akhir pemantauan Pemilu kepada KPU, KPU Provinsi dan KPU Kabupaten/Kota dengan format laporan yang berisikan Pendahuluan, Latar Belakang, Tujuan, Pelaksanaan Kegiatan, Temuan Hasil Pemantauan, dan Rekomendasi."""
061,Apa itu Pemilu?,"Pemilu singkatan dari Pemilihan Umum dan merupakan wadah/sarana warga negara Indonesia untuk melaksanakan kedaulatan rakyat berupa memilih para wakil rakyat secara langsung, umum, bebas, rahasia, jujur dan adil.",UU No. 8 Tahun 2012 Pasal 1 Ayat (1),"(1) Pemilihan Umum, selanjutnya disebut Pemilu, adalah \nsarana pelaksanaan kedaulatan rakyat yang dilaksanakan \nsecara langsung, umum, bebas, rahasia, jujur, dan adil \ndalam Negara Kesatuan Republik Indonesia berdasarkan \nPancasila dan Undang-Undang Dasar Negara Republik \nIndonesia Tahun 1945."
062,Kapan diselenggarakan Pemilu 2014?,Pemilu Legislatif dilaksanakan pada tanggal 9 April 2014 dan Pemilu Presiden pada tanggal 9 Juli 2014,PKPU No. 21 tahun 2011 (Lampiran),"Pemilu Legislatif : 9 April 2014, Pemilu Presiden : 9 Juli 2014"
063,Bedanya pemilu legislatif sama pemilu presiden apa?,"Pemilu legislatif adalah pemilu untuk memilih anggota DPR, DPD, DPRD Provinsi dan DPRD Kabupaten/Kota. Sedangkan pemilu presiden adalah pemilu untuk memilih presiden dan wakil presiden.",UU Nomor 8 tahun 2012 pasal 1 dan UU Nomor 15 tahun 2011,"UU Nomor 8 tahun 2012: Pemilu Legislatif adalah Pemilu untuk memilih anggota Dewan Perwakilan Rakyat, Dewan Perwakilan Daerah, Dewan Perwakilan Rakyat Daerah provinsi dan Dewan Perwakilan Rakyat Daerah kabupaten/kota dalam Negara Kesatuan Republik Indonesia berdasarkan Pancasila dan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945. UU Nomor 15 tahun 2011 :Pemilu Presiden dan Wakil Presiden adalah Pemilu untuk memilih Presiden dan Wakil Presiden dalam Negara Kesatuan Republik Indonesia berdasarkan Pancasila dan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945."
064,Siapa itu Pemilih?,Pemilih merupakan WNI yang berdomisili baik di Indonesia maupun di luar negeri yang berusia 17 (tujuh belas) tahun atau sudah/pernah menikah,UU No. 8 Tahun 2012 Pasal 1 Ayat (25),25. Pemilih adalah Warga Negara Indonesia yang telah genap berumur 17 (tujuh belas) tahun atau lebih atau sudah/pernah kawin.
065,Apa persyaratan untuk dapat menjadi seorang Pemilih dalam Pemilu?,Persyaratannya ialah telah berusia 17 tahun atau lebih atau sudah/pernah menikah dan terdaftar dalam daftar pemilih,UU No. 8 Tahun 2012 Pasal 19 Ayat (1 dan 2),(1) Warga Negara Indonesia yang pada hari pemungutan suara telah genap berumur 17 (tujuh belas) tahun atau lebih atau sudah/pernah kawin mempunyai hak memilih. (2) Warga Negara Indonesia sebagaimana dimaksud pada ayat (1) didaftar 1 (satu) kali oleh penyelenggara Pemilu dalam daftar Pemilih.
066,Dimana pemilu akan dilaksanain?,"Di Indonesia, lokasi pemilu dinamakan TPS atau Tempat Pemungutan Suara, sedangkan diluar negeri, disebut TPSLN atau Tempat Pemungutan Suara Luar Negeri",UU No. 8 Tahun 2012 Pasal 1 Ayat (15 dan 16),"15. Tempat Pemungutan Suara, selanjutnya disingkat TPS, adalah tempat dilaksanakannya pemungutan suara. 16. Tempat Pemungutan Suara Luar Negeri, selanjutnya disingkat TPSLN, adalah tempat dilaksanakannya pemungutan suara di luar negeri."
067,Identitas atau berkas apa saja yang harus dibawa ke TPS?,Identitas yang harus dibawa Pemilih ke TPS ialah tanda pengenal seperti KTP atau Paspor dan surat konfirmasi sebagai pemilih yang sudah diberikan oleh KPPS setempat.,"UU No. 8 Tahun 2012 Pasal 150 Ayat (1) dan Ayat (2) Huruf (a), (b), (c).",Pasal 150 (1) Pemilih yang tidak terdaftar pada daftar pemilih tetap atau daftar pemilih tambahan sebagaimana dimaksud dalam Pasal 149 ayat (1) huruf c dapat menggunakan kartu tanda penduduk atau paspor. (2) Untuk Pemilih yang menggunakan kartu tanda penduduk atau paspor sebagaimana dimaksud pada ayat (1) diberlakukan ketentuan: a. memilih di TPS yang ada di RT/RW atau nama lain sesuai dengan alamat yang tertera di dalam KTP atau paspornya; b. terlebih dahulu mendaftarkan diri pada KPPS setempat; dan c. dilakukan 1 (satu) jam sebelum selesainya pemungutan suara di TPS setempat.
068,"Saya belum terdaftar sebagai DPT, apakah masih bisa mencoblos?",Pemilih dapat mendaftarkan diri ke dalam Daftar Pemilih Khusus dengan mekanisme mendaftarkan diri ke KPPS setempat minimal sehari sebelum pelaksanaan Pemilu,"UU No. 8 Tahun 2012 Pasal 40 Ayat 5, 6","(5) Dalam hal terdapat warga negara yang memenuhi syarat sebagai Pemilih dan tidak memiliki identitas kependudukan dan/atau tidak terdaftar dalam daftar pemilih sementara, daftar pemilih sementara hasil perbaikan, daftar pemilih tetap, atau daftar pemilih tambahan, KPU Provinsi melakukan pendaftaran dan memasukkannya ke dalam daftar pemilih khusus. (6) Ketentuan lebih lanjut mengenai pendaftaran warga negara dalam daftar pemilih khusus sebagaimana dimaksud pada ayat (5) diatur dalam peraturan KPU."
069,"Apa itu DPT, DPS, dan DPK?","DPT ialah Daftar Pemilih Tetap, sedangkan DPS adalah Daftar Pemilih Sementara, dan DPK adalah Daftar Pemilih Khusus","PKPU No. 26 Tahun 2013 Pasal 1 Ayat 22, 24, 25","22. Daftar Pemilih Tetap, selanjutnya disingkat DPT, adalah susunan nama penduduk Warga Negara Indonesia yang telah memenuhi syarat sebagai Pemilih berdasarkan undang-undang dan berhak menggunakan haknya untuk memberikan suara di TPS dalam Pemilu Anggota DPR, DPD, DPRD Provinsi/DPRA/DPRP/DPRPB dan DPRD Kabupaten/Kota/DPRK. 24. Daftar Pemilih Khusus selanjutnya disingkat DPK, adalah susunan nama penduduk Warga Negara Indonesia yang telah memenuhi syarat sebagai Pemilih berdasarkan Undang-Undang tetapi tidak memiliki identitas kependudukan dan/atau memiliki identitas kependudukan tetapi tidak terdaftar dalam Daftar Pemilih Sementara (DPS), Daftar Pemilih Sementara Hasil Perbaikan (DPSHP), Daftar Pemilih Tetap (DPT), atau Daftar Pemilih Tambahan (DPTb). 25. Daftar Pemilih Khusus Tambahan selanjutnya disingkat DPKTb, adalah susunan nama penduduk Warga Negara Indonesia yang telah memenuhi syarat sebagai Pemilih berdasarkan undang undang dan memiliki kartu tanda penduduk atau Identitas Lain atau Paspor tetapi tidak terdaftar dalam DPT, DPTb atau DPK, dan memberikan suara di TPS pada Hari dan tanggal pemungutan suara menggunakan Kartu Tanda Penduduk dan Kartu Keluarga atau Paspor atau Identitas lain."
070,Kapan waktu pemungutan suara dilaksanakan?,Pemungutan suara dilaksanakan di TPS dari pukul 07.00 sampai dengan pukul 13.00 waktu setempat,PKPU Nomor 26 tahun 2013 pasal 3 ayat (2),(2) Pemungutan suara di TPS sebagaimana dimaksud pada\nayat (1) dilaksanakan mulai pukul 07.00 sampai dengan\npukul 13.00 waktu setempat.
071,Siapa penyelenggara Pemilu?,Penyelenggaran Pemilu di tingkat nasional ialah Komisi Pemilihan Umum (KPU) yang membawahi KPU Provinsi yang khusus menangani wilayah Provinsi dan KPU Kabupaten/Kota yang bertugas diwilayah Kabupaten/Kota,"UU. No. 8 Tahun 2012 Pasal 6,7,8","6. Komisi Pemilihan Umum, selanjutnya disingkat KPU, adalah lembaga penyelenggara Pemilu yang bersifat nasional, tetap, dan mandiri yang bertugas melaksanakan Pemilu. 7. Komisi Pemilihan Umum Provinsi, selanjutnya disingkat KPU Provinsi, adalah penyelenggara Pemilu yang bertugas melaksanakan Pemilu di provinsi. 8. Komisi Pemilihan Umum Kabupaten/Kota, selanjutnya disingkat KPU Kabupaten/Kota, adalah penyelenggara Pemilu yang bertugas melaksanakan Pemilu di kabupaten/kota."
072,Apa saja partai yang menjadi peserta pemilu?,"Untuk Partai Politik Peserta Pemilu 2014 yaitu : 1) Partai NASDEM 2) Partai Kebangkitan Bangsa (PKB) 3) Partai Keadilan Sejahtera (PKS) 4) Partai Demokrasi Indonesia Perjuangan (PDIP) 5) Partai Golongan Karya (GOLKAR) 6) Partai Gerakan Indonesia Raya (GERINDRA) 7) Partai Demokrat 8) Partai Amanat Nasional (PAN) 9) Partai Persatuan Pembangunan (PPP) 10) Partai Hati Nurani Rakyat (HANURA). Partai Bulan Bintang (PBB), Partai Keadilan dan Persatuan Indonesia (PKPI), Adapun 3 Partai Lokal Aceh yang mengikuti Pemilu ialah : 1) Partai Damai Aceh (PDA). 2) Partai Nasional Aceh (PNA). 3) Partai Aceh (PA).",PKPU No 17 Tahun 2013 (Lampiran),"a. Untuk Partai Politik Peserta Pemilu yang ditetapkan tanggal 8 Januari 2013 yaitu : 1) Partai NASDEM 2) Partai Kebangkitan Bangsa (PKB) 3) Partai Keadilan Sejahtera (PKS) 4) Partai Demokrasi Indonesia Perjuangan (PDIP) 5) Partai Golongan Karya (GOLKAR) 6) Partai Gerakan Indonesia Raya (GERINDRA) 7) Partai Demokrat 8) Partai Amanat Nasional (PAN) 9) Partai Persatuan Pembangunan (PPP) 10) Partai Hati Nurani Rakyat (HANURA). Periode pelaporannya tanggal 11 Januari 2013 s.d 17 April 2013 b. Partai Politik yang ditetapkan pada tanggal 18 Maret 2013 Partai Bulan Bintang (PBB), Periode pelaporannya tanggal 21 Maret 2013 s.d 17 April 2013. \nc. Partai Politik yang ditetapkan pada tanggal 21 Maret 2013 Partai Keadilan dan Persatuan Indonesia (PKPI) Periode pelaporannya tanggal 24 Maret 2013 s.d 17 April 2013"
073,Apa itu DPR,,UU No. 8 Tahun 2012 Pasal 1 Ayat 3,"3. Dewan Perwakilan Rakyat, selanjutnya disingkat DPR, adalah Dewan Perwakilan Rakyat sebagaimana dimaksud dalam Undang-Undang Dasar Negara Republik Indonesia Tahun 1945."
074,Apa itu DPD,,UU No. 8 Tahun 2012 Pasal 1 Ayat 4,"4. Dewan Perwakilan Daerah, selanjutnya disingkat DPD, adalah Dewan Perwakilan Daerah sebagaimana dimaksud dalam Undang-Undang Dasar Negara Republik Indonesia Tahun 1945."
075,Apa itu DPRD,,UU No. 8 Tahun 2012 Pasal 1 Ayat 5,"5. Dewan Perwakilan Rakyat Daerah, selanjutnya disingkat DPRD, adalah Dewan Perwakilan Rakyat Daerah provinsi dan Dewan Perwakilan Rakyat Daerah kabupaten/kota sebagaimana dimaksud dalam Undang-Undang Dasar Negara Republik Indonesia Tahun 1945."
076,Bagaimana saya tahu kalau saya terdaftar sebagai Pemilih?,Anda dapat mengetahuinya melalui website KPU yang menjadi sistem informasi data pemilih di link ini http://data.kpu.go.id/,"UU no. 8 Tahun 2012 Pasal 48 Ayat 1,2,3","Pasal 48 (1) KPU dan KPU Kabupaten/Kota dalam menyediakan data pemilih, daftar pemilih sementara, dan daftar pemilih tetap memiliki sistem informasi data Pemilih yang dapat terintegrasi dengan sistem informasi administrasi kependudukan. (2) KPU dan KPU Kabupaten/Kota wajib memelihara dan memutakhirkan data Pemilih sebagaimana dimaksud pada ayat (1). (3) Ketentuan lebih lanjut mengenai sistem informasi data Pemilih diatur dengan peraturan KPU."
077,Apakah Peraturan yang diterapkan untuk Partai lokal Aceh sama dengan Partai Nasional?,"Beda, karena partai Aceh mengikuti aturan UU no. 11 Tahun 2006 tentang partai politik dan diatur lebih rinci di Qanun no. 3 Tahun 2008 sedangkan partai nasional mengikuti aturan UU no. 2 Tahun 2011. Akan tetapi, Partai Aceh tetap mengikuti aturan yang tertera dalam UUD 1945, Undang - Undang tentang pemilu selama tidak ada aturan khusus yang mengatur mengenai Pemerintahan Aceh.","UU no. 8 Tahun 2012 Pasal 322, UU no. 11 Tahun 2006, UU no 2 Tahun 2011","Keikutsertaan partai politik lokal di Aceh dalam Pemilu anggota DPRD provinsi dan DPRD kabupaten/kota sepanjang tidak diatur khusus dalam Undang-Undang yang mengatur mengenai Pemerintahan Aceh, berlaku ketentuan Undang Undang ini."
078,Kenapa ada Perbedaan antara Partai Aceh dan Partai Nasional?,Pembentukan Partai Lokal Aceh diberikan hak khusus sesuai UU No. 11 Tahun 2006 untuk meningkatkan partisipasi politik dan aspirasi masyarakat Aceh secara Konstitusional.,"UU no. 11 Tahun 2006 Pasal 1 Ayat 14, Pasal 75 Ayat 1,2,3,4,5,6,7,8, Pasal 77 Ayat 1 Huruf (a), (b), (c). Ayat 2 Huruf (a), (b), Ayat 3, dan Pasal 79",
079,Kenapa Partai Lokal Aceh tidak memiliki kursi di DPR?,Partai Lokal Aceh hanya berhak mengikuti pemilu untuk memilih anggota DPRK/DPRA,UU no. 11 Tahun 2006 Pasal 80 Ayat 1 dan 2,
080,Apa Manfaat dan Pentingnya Pemilu?,Pemilu merupakan wadah yang sangat penting dalam meyuarakan aspirasi masyarakat untuk memilih pemimpin yang sesuai dengan amanat UUD 1945,Pembukaan UU no. 8 Tahun 2012 Huruf (a),"Pemilihan umum sebagai sarana perwujudan kedaulatan rakyat untuk menghasilkan wakil rakyat yang aspiratif, berkualitas, dan bertanggung jawab berdasarkan Pancasila dan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945"
