kecamatan/_text,pemilih,pengguna_hak_pilih,perolehan_suara_1,perolehan_suara_2,suara_sah,suara_tidak_sah,total_suara,resources
TPS 1,345,180,17,161,178,2,180,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 2,438,178,30,146,176,2,178,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 3,267,128,19,106,125,3,128,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 4,324,148,22,124,146,2,148,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 5,419,218,46,169,215,3,218,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 6,740,391,42,343,385,6,391,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 7,567,313,33,278,311,2,313,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 8,764,326,40,281,321,5,326,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 9,742,293,32,260,292,1,293,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 10,678,346,39,300,339,7,346,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 11,579,290,33,215,248,1,249,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 12,495,235,27,202,229,6,235,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 13,567,272,36,228,264,8,272,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 14,563,302,27,272,299,3,302,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 15,755,336,82,252,334,2,336,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 16,369,164,17,147,164,0,164,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 17,236,141,13,127,140,1,141,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 18,497,199,26,171,197,2,199,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 19,593,302,32,269,301,1,302,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 20,640,339,51,283,334,5,339,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 21,716,309,46,260,306,3,309,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 22,473,242,30,206,236,6,242,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 23,462,275,36,235,271,4,275,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 24,330,203,26,176,202,1,203,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 25,749,336,19,307,326,10,336,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 26,263,151,18,130,148,3,151,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 27,242,128,14,113,127,1,128,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 28,483,288,40,242,282,6,288,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 29,720,297,53,241,297,0,297,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 30,555,295,71,221,292,3,295,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 31,588,327,54,267,321,6,327,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 32,727,416,76,337,413,3,416,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 33,487,277,36,236,272,5,277,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 34,379,180,23,157,180,0,180,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 35,499,213,37,175,212,1,213,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 36,716,364,59,301,360,4,364,https://pilkada2015.kpu.go.id/surabayakota/gubeng/kertajaya
TPS 1,342,168,5,163,168,0,168,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 2,382,240,17,222,239,1,240,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 3,522,238,24,209,233,0,238,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 4,590,300,42,253,295,5,300,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 5,717,345,45,295,340,5,345,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 6,481,205,4,200,204,1,205,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 7,0,0,36,171,0,0,0,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 8,450,274,40,229,269,5,274,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 9,457,244,29,204,233,11,244,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 10,0,299,38,259,297,2,299,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 11,550,293,40,248,288,5,293,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 12,630,235,24,211,235,0,235,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 13,487,279,43,234,277,2,279,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 14,573,348,40,307,347,1,348,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 15,514,317,40,273,313,4,317,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 16,550,340,62,278,340,0,340,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 17,515,295,60,232,292,3,295,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 18,488,316,23,291,314,2,316,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 19,495,266,45,219,264,2,266,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 20,630,318,37,277,314,4,318,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 21,529,265,32,230,262,3,265,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 22,447,247,31,215,246,1,244,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 23,449,233,24,207,231,2,233,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 24,330,181,13,167,180,1,181,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 25,559,353,36,313,349,4,353,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 26,580,250,43,206,249,1,250,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 27,631,343,39,301,340,3,343,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 28,547,297,52,239,291,6,297,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 29,474,247,30,213,243,4,247,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 30,514,343,32,304,336,7,343,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 31,553,325,40,277,317,8,325,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 32,652,332,50,278,328,4,332,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 33,646,367,442,316,258,9,367,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 34,398,245,31,210,241,4,245,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 35,462,249,21,222,243,6,249,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 36,602,328,35,291,326,2,328,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 37,665,363,49,307,356,7,363,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 38,449,268,39,228,267,1,268,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 39,542,278,33,242,275,3,278,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 40,489,294,39,251,290,4,294,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 41,0,0,0,0,0,0,0,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 42,614,309,26,279,305,4,309,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 43,702,401,43,355,0,0,0,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 44,567,292,52,231,283,9,292,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 45,543,333,55,276,331,2,333,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 46,577,330,83,240,322,7,330,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 47,408,238,26,209,235,3,238,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 48,475,305,19,281,300,5,305,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 49,535,215,25,189,214,1,215,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 50,580,225,18,206,224,1,225,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 51,606,334,30,297,327,7,334,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 52,576,342,18,317,335,7,342,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 53,568,349,50,293,343,6,349,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 54,464,308,41,262,303,5,308,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 55,558,299,26,268,294,5,299,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 56,607,368,46,310,356,12,368,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 57,560,255,41,212,253,2,255,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 58,591,334,27,303,330,4,334,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 59,752,416,65,347,412,4,416,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 60,707,394,61,323,384,10,394,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 61,365,231,28,199,227,4,231,https://pilkada2015.kpu.go.id/surabayakota/gubeng/mojo
TPS 1,514,223,24,199,223,0,0,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 2,444,209,19,189,208,1,209,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 3,573,263,14,246,260,3,263,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 4,617,250,14,235,249,1,250,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 5,537,295,20,272,292,3,295,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 6,455,233,21,211,232,1,233,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 7,563,256,37,213,250,6,256,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 8,551,173,28,143,171,0,173,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 9,470,255,16,236,252,3,255,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 10,474,269,21,239,260,9,269,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 11,425,245,18,223,241,4,245,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 12,528,305,38,259,297,8,305,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 13,594,297,33,257,290,7,297,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 14,690,305,28,274,302,3,305,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 15,592,288,36,244,280,8,288,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 16,668,286,25,255,280,6,286,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 17,0,223,38,184,222,1,223,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 18,433,237,23,214,237,0,237,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 19,437,226,22,202,224,2,226,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 20,550,258,40,212,252,6,258,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 21,377,139,18,121,139,0,139,https://pilkada2015.kpu.go.id/surabayakota/gubeng/pucang_sewu
TPS 1,596,302,34,263,297,5,302,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 2,319,173,15,155,170,3,173,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 3,533,361,25,332,357,4,361,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 4,660,374,44,324,368,6,374,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 5,609,404,42,357,399,5,404,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 6,673,394,39,350,389,5,394,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 7,694,428,35,381,416,12,428,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 8,420,269,39,224,263,6,269,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 9,696,357,51,302,353,4,357,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 10,417,202,15,186,201,1,202,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 11,438,216,19,194,213,3,216,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 12,394,219,16,200,216,3,219,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 13,502,275,34,238,272,3,275,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 14,704,419,50,359,409,10,409,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 15,593,338,27,307,334,4,338,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 16,705,432,42,388,430,2,432,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 17,619,361,51,306,357,4,361,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 18,662,411,55,353,408,3,411,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 19,672,420,0,0,417,3,420,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 20,771,380,57,316,373,7,380,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 21,283,168,18,146,164,4,168,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 22,491,236,16,220,236,0,236,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 23,489,252,21,229,250,2,252,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 24,553,251,11,240,251,0,251,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar
TPS 1,604,317,48,263,311,6,317,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar_tambak
TPS 2,542,307,32,272,304,3,307,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar_tambak
TPS 3,611,328,20,306,326,2,328,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar_tambak
TPS 4,787,411,36,372,408,3,411,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar_tambak
TPS 5,642,342,44,294,338,4,342,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar_tambak
TPS 6,404,240,16,224,240,0,240,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar_tambak
TPS 7,360,238,17,221,238,0,238,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar_tambak
TPS 8,507,291,26,260,286,5,291,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar_tambak
TPS 9,683,446,40,401,441,5,446,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar_tambak
TPS 10,558,317,51,259,310,7,317,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/gunung_anyar_tambak
TPS 1,582,345,0,0,0,0,0,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_menanggal
TPS 2,536,304,33,264,297,7,304,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_menanggal
TPS 3,513,309,40,261,301,8,309,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_menanggal
TPS 4,445,244,25,213,238,6,244,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_menanggal
TPS 5,513,284,31,253,284,0,284,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_menanggal
TPS 6,410,244,26,216,242,2,244,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_menanggal
TPS 7,525,309,37,267,304,5,309,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_menanggal
TPS 8,479,257,45,210,255,2,257,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_menanggal
TPS 9,543,303,37,260,297,6,303,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_menanggal
TPS 10,492,315,22,288,310,5,315,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_menanggal
TPS 11,408,268,31,230,261,7,268,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_menanggal
TPS 12,367,264,27,233,260,4,264,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_menanggal
TPS 13,441,280,41,236,277,3,280,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_menanggal
TPS 14,318,318,36,279,315,3,318,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_menanggal
TPS 15,302,302,45,251,296,6,302,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_menanggal
TPS 16,609,407,47,353,400,7,407,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_menanggal
TPS 17,577,323,47,271,318,5,323,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_menanggal
TPS 18,516,322,32,287,319,3,322,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_menanggal
TPS 1,673,392,53,333,386,6,392,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_tengah
TPS 2,604,364,47,314,361,3,364,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_tengah
TPS 3,632,0,22,305,327,5,332,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_tengah
TPS 4,756,426,37,382,419,7,426,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_tengah
TPS 5,557,319,24,290,314,5,319,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_tengah
TPS 6,625,352,27,316,343,9,352,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_tengah
TPS 7,367,203,25,174,199,4,203,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_tengah
TPS 8,596,373,49,316,365,8,373,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_tengah
TPS 9,535,336,44,289,333,3,336,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_tengah
TPS 10,386,224,16,204,220,4,224,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_tengah
TPS 11,406,234,20,214,234,0,234,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_tengah
TPS 12,305,155,12,142,154,1,155,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_tengah
TPS 13,346,196,9,183,192,4,196,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_tengah
TPS 14,708,335,30,304,334,1,335,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_tengah
TPS 15,371,207,22,184,206,1,207,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_tengah
TPS 16,392,215,17,197,214,1,215,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_tengah
TPS 17,584,310,37,272,309,1,310,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_tengah
TPS 18,464,228,11,215,226,2,228,https://pilkada2015.kpu.go.id/surabayakota/gunung_anyar/rungkut_tengah
TPS 1,535,276,36,235,271,5,276,https://pilkada2015.kpu.go.id/surabayakota/jambangan/jambangan
TPS 2,481,295,43,242,285,10,295,https://pilkada2015.kpu.go.id/surabayakota/jambangan/jambangan
TPS 3,0,350,49,293,342,8,350,https://pilkada2015.kpu.go.id/surabayakota/jambangan/jambangan
TPS 4,517,332,43,281,324,8,332,https://pilkada2015.kpu.go.id/surabayakota/jambangan/jambangan
TPS 5,0,250,33,212,245,5,250,https://pilkada2015.kpu.go.id/surabayakota/jambangan/jambangan
TPS 6,384,220,26,190,216,4,220,https://pilkada2015.kpu.go.id/surabayakota/jambangan/jambangan
TPS 7,553,348,45,298,343,5,348,https://pilkada2015.kpu.go.id/surabayakota/jambangan/jambangan
TPS 8,0,272,30,236,266,6,272,https://pilkada2015.kpu.go.id/surabayakota/jambangan/jambangan
TPS 9,580,309,43,260,303,6,309,https://pilkada2015.kpu.go.id/surabayakota/jambangan/jambangan
TPS 10,367,240,40,196,236,4,240,https://pilkada2015.kpu.go.id/surabayakota/jambangan/jambangan
TPS 11,506,286,57,225,282,4,286,https://pilkada2015.kpu.go.id/surabayakota/jambangan/jambangan
TPS 12,704,446,65,375,440,6,446,https://pilkada2015.kpu.go.id/surabayakota/jambangan/jambangan
TPS 13,617,305,51,253,304,1,305,https://pilkada2015.kpu.go.id/surabayakota/jambangan/jambangan
TPS 1,561,355,41,304,345,10,355,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 2,547,313,55,254,309,4,313,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 3,402,241,26,212,238,3,241,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 4,460,281,54,222,276,5,281,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 5,517,299,31,265,296,3,299,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 6,400,200,37,161,198,2,200,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 7,774,368,46,310,356,12,368,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 8,684,441,43,386,429,12,441,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 9,552,322,44,274,318,4,322,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 10,433,303,35,261,296,7,303,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 11,542,348,56,281,337,11,348,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 12,509,306,31,273,304,2,306,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 13,637,391,44,342,386,5,391,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 14,776,486,70,410,480,6,486,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 15,327,159,32,126,158,1,159,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 16,547,363,61,296,357,6,363,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 17,659,375,51,318,369,6,375,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 18,416,236,45,188,233,3,236,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 19,492,323,46,276,322,1,323,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 20,293,148,17,131,148,0,148,https://pilkada2015.kpu.go.id/surabayakota/jambangan/karah
TPS 1,638,378,38,337,375,3,378,https://pilkada2015.kpu.go.id/surabayakota/jambangan/kebonsari
TPS 2,504,307,40,262,302,5,307,https://pilkada2015.kpu.go.id/surabayakota/jambangan/kebonsari
TPS 3,607,321,30,282,312,9,321,https://pilkada2015.kpu.go.id/surabayakota/jambangan/kebonsari
TPS 4,694,388,44,342,386,2,388,https://pilkada2015.kpu.go.id/surabayakota/jambangan/kebonsari
TPS 5,697,403,58,338,396,7,403,https://pilkada2015.kpu.go.id/surabayakota/jambangan/kebonsari
TPS 6,652,367,40,321,361,6,367,https://pilkada2015.kpu.go.id/surabayakota/jambangan/kebonsari
TPS 7,343,224,25,197,222,2,224,https://pilkada2015.kpu.go.id/surabayakota/jambangan/kebonsari
TPS 8,448,311,34,270,304,7,311,https://pilkada2015.kpu.go.id/surabayakota/jambangan/kebonsari
TPS 9,496,283,31,251,282,1,283,https://pilkada2015.kpu.go.id/surabayakota/jambangan/kebonsari
TPS 10,682,362,45,314,359,3,362,https://pilkada2015.kpu.go.id/surabayakota/jambangan/kebonsari
TPS 11,520,334,41,289,330,4,334,https://pilkada2015.kpu.go.id/surabayakota/jambangan/kebonsari
TPS 12,520,274,33,238,271,3,274,https://pilkada2015.kpu.go.id/surabayakota/jambangan/kebonsari
TPS 13,531,313,31,276,307,6,313,https://pilkada2015.kpu.go.id/surabayakota/jambangan/kebonsari
TPS 1,592,367,132,331,363,4,367,https://pilkada2015.kpu.go.id/surabayakota/jambangan/pagesangan
TPS 2,487,324,34,282,316,8,324,https://pilkada2015.kpu.go.id/surabayakota/jambangan/pagesangan
TPS 3,583,351,51,293,344,7,351,https://pilkada2015.kpu.go.id/surabayakota/jambangan/pagesangan
TPS 4,627,376,40,334,374,2,376,https://pilkada2015.kpu.go.id/surabayakota/jambangan/pagesangan
TPS 5,596,336,39,290,329,7,336,https://pilkada2015.kpu.go.id/surabayakota/jambangan/pagesangan
TPS 6,393,197,30,167,197,0,197,https://pilkada2015.kpu.go.id/surabayakota/jambangan/pagesangan
TPS 7,638,395,54,333,387,8,395,https://pilkada2015.kpu.go.id/surabayakota/jambangan/pagesangan
TPS 8,468,280,22,249,271,9,280,https://pilkada2015.kpu.go.id/surabayakota/jambangan/pagesangan
TPS 9,467,288,64,223,287,1,288,https://pilkada2015.kpu.go.id/surabayakota/jambangan/pagesangan
TPS 10,505,242,25,212,237,5,242,https://pilkada2015.kpu.go.id/surabayakota/jambangan/pagesangan
TPS 11,571,368,47,316,363,5,368,https://pilkada2015.kpu.go.id/surabayakota/jambangan/pagesangan
TPS 12,454,271,39,228,267,4,271,https://pilkada2015.kpu.go.id/surabayakota/jambangan/pagesangan
TPS 13,562,304,43,255,298,6,304,https://pilkada2015.kpu.go.id/surabayakota/jambangan/pagesangan
TPS 14,595,395,66,323,389,6,395,https://pilkada2015.kpu.go.id/surabayakota/jambangan/pagesangan
TPS 15,480,286,25,256,281,5,286,https://pilkada2015.kpu.go.id/surabayakota/jambangan/pagesangan
TPS 16,574,328,59,258,317,11,328,https://pilkada2015.kpu.go.id/surabayakota/jambangan/pagesangan
TPS 17,330,171,29,141,170,1,171,https://pilkada2015.kpu.go.id/surabayakota/jambangan/pagesangan
TPS 18,398,187,26,160,186,1,187,https://pilkada2015.kpu.go.id/surabayakota/jambangan/pagesangan
