id,participant_id,name,revenue,operating_expenses,capital_expenditures,other_expenses,balance,cash_special_account,cash_treasurer,goods
343,651,"DRS.H.Rizal Sirajuddin,M.Si",5000000,,,,5000000,5000000,,
344,649,"H. Arifin Nurdin, SE.,M.SAk",1500000,,,,1500000,1500000,,
345,876,"Agustinus Klaran, ST",185000000,,,87500000,97500000,600000,96900000,
346,868,dr. Stefanus Bria Seran MPH,124150000,,,99150000,25000000,25000000,,
347,874,"Taolin Ludovikus, BA",282500000,,,236800000,45700000,1191500,44508500,
348,611,"Dra. Hj. DEWANTI RUMPOKO, M.Si",70400000,16000000,,,54400000,54400000,,
349,70,NURCHOLIS,15000000,224640,,,14775360,14775360,,
350,455,H. RENDRA KRESNA,150000000,,,193427,149806573,149806573,,
351,957,"Dr. Yansen Tp, M.Si",121000000,175000,,,120825000,120825000,,
352,531,"Pdt. MARTIN LABO, M.Th, M.Si",137225000,136225000,,,1000000,1000000,,
353,1109,Nikolas Johan KiliKily S.Th,250000,,,,250000,250000,,
354,1110,Drs. Barnabas Orno,50000000,3780000,10000000,,36220000,36220000,,
355,439,Simon Moshe Maahury,8350000,8250000,,,100000,100000,,
356,660,"DEMIANUS KYEUW-KYEUW, SH, MH",Tidak diset,,,,0,,,
357,658,"ROBBY WILSON RUMANSARA, SP, MH",Tidak diset,,,,0,,,
358,460,"DORINUS DASINAPA, A.Ks, S.Sos",Tidak diset,,,,0,,,
359,1030,"H. AHMAD, S.SOS",100000000,,,,100000000,100000000,,
360,1029,Ir. Bustamin Bausat,235000000,,,,235000000,235000000,,
361,1028,"Drs. H. HABSI WAHID, MM",10000000,,,,10000000,10000000,,
362,885,HADERANA,50000000,7000000,18000000,25000000,43000000,25000000,18000000,
363,886,H. ARAS T,50500000,,,,50500000,,50500000,
364,882,"Ir. H. AGUS AMBO DJIWA, MP",100000000,7250000,,,93250000,500000,92750000,
365,878,"Ir.H.Abdulah Rasyid, MM",Tidak diset,,,,0,,,
366,879,"Muhammad Yusri M Nur, ST, M.Si",150200000,2300000,,,148400000,500000,147900000,
367,974,Drs. H. Dahlan Hasan Nasution,600000,,,,600000,600000,,
368,976,Saparuddin Haji,15000000,,,,15000000,,15000000,
369,282,"Drs. HM. Yusuf Nasution, Msi",10050000,,,,10050000,10050000,,
370,1051,"Dr. DENO KAMELUS, SH. MH",320000000,,,,320000000,320000000,,
371,1052,"HERYBERTUS GERADUS LAJU NABIT, SE.MA",15000000,3550000,50000,,11400000,7450000,3950000,
372,1077,"IR. PANTAS FERDINANDUS, M.SI",300000000,289000000,10000000,,11000000,1000000,,10000000
373,1086,Drs. TOBIAS WANUS,30000000,30000000,,,0,,,
374,1078,"DRS. GASA MAXIMUS, M.SI",98000000,98000000,,,0,,,
375,1080,DRS. AGUSTINUS CH. DULA,425547500,404168500,1000000,,22379000,21379000,,1000000
376,1084,"MATEUS HAMSI, S.Sos",21000000,20000000,,,1000000,1000000,,
377,1038,"DEMAS PAULUS MANDACAN, S.Sos., M.Cc.Dev",5000000,5500,,,4995870,4995870,,
378,132,"SEPRIANUS ADOLF RUMPABE, SH.,MH",200000000,189335200,,2000000,17224176,8612088,8612088,
379,134,"Drs. BERNARD SEFNAT BONEFTAR, M.H",30000000,,,,30000000,30000000,,
380,634,"Drs. BASTIAN SALABAI, S.Th, ma, M.Th",1000000,,,,1000000,1000000,,
381,1149,"David Towan Siba, S.Sos, M.Si.",Tidak diset ,,,,0,,,
382,1148,"Markus Waran, ST.",Tidak diset ,,,,0,,,
383,375,"Ir. H. M. HATTA RAHMAN, MM",275000000,270800000,,,4200000,1000000,3200000,
384,1012,"Ir. H. MUH. IMRAN YUSUF, MM",37000000,36100000,,,900000,500000,400000,
385,1011,"H. A. HUSAIN RASUL, SH",50000000,49000000,,,1000000,1000000,,
386,477,"Panji, S.Sos",100000000,25000000,5600000,,75000000,55000000,14400000,5600000
387,903,"H. Firman Muntaco, SH. MH",250000000,248717000,687000,,1283000,1283000,,
388,1016,"Drs. ROMANUS MBARAKA, MT",Tidak diset,,,,- ,,,
389,1018,"FREDERIKUS GEBZE, SE, M.Si",Tidak diset ,,,,- ,,,
390,390,CHRISTIANY EUGENIA PARUNTU,Tidak diset ,,,,- ,,,
391,1212,JOHNY R.M. SUMUAL,Tidak diset,,,,,,,
392,1256,KAREL HENDRIK LAKOY,Tidak diset,,,,,,,
393,693,"PETRUS JOHANIS LUNTUNGAN,BA",Tidak diset,,,,,,,
394,368,DRS.SOMPIE S.F. SINGAL,Tidak diset,,,,,,,
395,524,YULISA BARAMULI,Tidak diset,,,,,,,
396,678,VONNIE ANNEKE PANAMBUNAN,Tidak diset,,,,,,,
397,990,"Dra. Hj. CHOIRUN NISA, M. Pd",1000000,,,,1000000,1000000,,
398,176,MISNAN,1000000,,,,1000000,1000000,,
399,338,"H. MUSTOFA KAMAL FASA, SE",,24000,,,1000000,1000000,,
400,1072,"Ir. Artipel Tumimomor, MT",Tidak diset,,,,0,,,
401,1076,"Drs. Sutrisno Sembiring, MM",Tidak diset,,,,0,,,
402,1073,"Idham Ibrahim, SE, M.SE",Tidak diset,,,,0,,,
403,1074,"Mahmud Ibrahim, S.Sos.,MM",5000000,,,,5000000,,5000000,
404,1075,"Mardiman Sane, SH.,MH",160000000,159500000,,,500000,500000,,
405,512,"Choirul Huda, SH",101000000,,,2820000,98180000,76000000,22180000,
406,345,"Sapuan, SE., MM., Ak., CA",1000000,,,,1000000,1000000,,
407,342,Wismen A. Razak,,,,,1000000,1000000,,
408,994,"LM. Rusman Emba, ST",1000000,,,,1000000,1000000,,
409,991,"H. La Ode Arwaha Ady Saputra, S.Sg, M.Si",1000000,,,,1000000,,1000000,
410,992,"dr. H. LM. Baharuddin, M.Kes",5000000,,,,5000000,5000000,,
411,384,"Ir.H. Hendra Gunawan, SH. MM",22222000,21502825,,,719175,497175,222000,
412,385,Ir. Hj. Ratna Machmud,,500000,,,40000000,20000000,20000000,
413,1183,"H.Zulkarnain, SE",,,,,200000,200000,,
414,389,"Drs. H. AKISROPI AYUB, SH, M.Si",200000000,,,,0,200000000,,
415,1082,"Drs. H.M SARIF HIDAYAT, MM",54116350,43500000,3824000,795000,9821350,5997350,,3824000
416,388,"KHAIRUL ALAMSYAH, SE",50000000,47426000,2574000,,0,5000000,42426000,2574000
417,1227,"Yakob Panus Jingga, MT",Tidak diset,,,,0,,,
418,1224,"Zonggonau A, AMDP, SP, MSi",Tidak diset,,,,0,,,
419,1228,"Isaias Douw,S.Sos",Tidak diset,,,,0,,,
420,629,"DECKY KAYAME, SE",Tidak diset,,,,0,,,
421,1225,Hendrik Andoi,Tidak diset,,,,,,,
422,1229,"Drs.Ayub Kayame, MA",Tidak diset,,,,,,,
423,1226,Drs. Fabianus Yobee,Tidak diset,,,,,,,
424,434,Piter Warobay,Tidak diset,,,,,,,
425,184,DRS. H. Ilyas Sabli,11000000,36418,,,10963582,10963582,,
426,291,Dedi Yanto,601000000,360000000,,,241000000,201000000,40000000,
427,427,Rodhial Huda,31400000,30400000,1000000,,1000000,1000000,,
428,428,Drs. H. Abdul Hamid Rizal,201000000,76326000,10093000,,124674000,5963609,108617391,10093000
429,425,"Imalko, S.Sos, MH",62035000,61035000,,,1000000,1000000,,
430,669,"MARIANUS SAE, S.A.P",30000000,,,,30000000,30000000,,
431,684,"PAULINUS NO WATU, S.Sos",15000000,15000000,,,0,,,
432,677,"KORNELIS SOI, SH",7500000,5871000,,,1629000,200000,1429000,
433,362,"Drs. Agus Bandono, M.Hum",150000000,84250000,15000000,,50750000,17500000,33250000,
434,301,Ir. H. Budi Sulistyono ALIAS KANANG,500000000,,,,500000000,500000000,,
435,46,"FAIGIA'ASA BAWAMENEWI, SH",2000000,,,,2000000,2000000,,
436,539,"DRS. SOKHIATULO LAOLI, MM",10000000,4050000,,,5950000,,5950000,
437,540,"HAPPY PERSATUAN NDRAHA, A.MAK",2000000,750000,,,1250000,,1250000,
438,357,"Adrianus Aroziduhu Gulo, SH.,MH",50000000,29766000,1734000,,18002233,18002233,,
439,840,"Faduhusi Daely, S.Pd",250000,,,,250000,250000,,
440,1034,HADIRAT MANAO,Tidak diset ,,,,0,,,
441,1035,"DR. HILARIUS DUHA, SH.,MH",71000000,,,,70000000,70000000,,
442,1036,"LIANUS NDRURU, ST.,MM",35000000,30000000,,,5000000,5000000,,
443,463,IDEALISMAN DACHI,100000000,500000,74500000,,25022692,25022692,,
444,839,EDWARD ZEGA,5000000,,,,5000000,5000000,,
445,844,"MARSELINUS INGATI NAZARA, A.Md",150000000,23339000,422000,,126661000,126239000,422000,
446,838,MARTINUS ZEGA,5000000,,,,5000000,5000000,,
447,638,"Hj. Asmin Laura Hafid, SE, MM",26425000,24425000,,,2000000,2000000,,
448,648,Hj. Asmah Gani,36390000,26390548,,,10002192,10002192,,
449,635,"H. Basri, S Sos, M. Si",20000000,19000000,,,1000000,1000000,,
450,474,"MASHUR, MA",8500000,7500000,,,1000000,1000000,,
451,277,H. Sobli Rozali,5000000,,,,,5000000,400000000,
452,993,H. Helmi Yahya,401200000,100000000,,,,,301200000,
453,383,AW Nofiadi,200000000,169020750,1770000,,,1000000,31979250,1770000
454,466,Hj. Percha Leanpuri,511000000,1000000,,,510000000,510000000,,
455,988,Kuryana Aziz,101000000,,,,,,101000000,
456,796,"POPO ALI. M, B.Commerce ",105000000,31500000,18000000,,65650000,5000000,42650000,18000000
457,788,"H.A. WAHAB NAWAWI, S.Sos, MM ",40813000,29980000,,833000,10000000,10000000,,
458,782,H. M. KHOLID MD,50000000,,,,,,50000000,
459,518,"EDWAR JAYA, SH",77533954,9791,,,,,77524163,
460,1231,"JUANDA, SE., MM",4950000,,,,,,4950000,
461,1237,"Drs. BAMBANG SUSANTO, S.Pd, SE, MM",15100000,15000000,,,,100000,,
462,306,"Drs. H. Indartato, MM ",98759000,47808315,,,,50950685,,
463,776,ALFIKRI MUKHLIS,2000000,,,,,2000000,,
464,916,Drs. H. ALI MUKHNI,10000000,,,,,10000000,,
465,833,Mulyadi Panigoro,500000,,,,,,500000,
466,836,"Syarif Mbuinga, S.Pd., SE, MM",200000000,,,,,200000000,,
467,15,"Ir. August P. Tumanggor, MT",40300000,5096,,,,40295096,,
468,1091,Jujur Solin,20000000,5977450,,,14022550,15094500,-1071950,
469,1089,"Remigo Yolando Berutu, MBA",68400000,47417000,,,,11895000,9088000,
470,307,"HJ. IRNA NARULITA, SE., MM",Tidak diset,,,,,,,
471,341,Drs. AAP APTADI,Tidak diset,,,,,,,
472,304,HJ. RATU SITI ROMLAH,Tidak diset,,,,,,,
473,1150,JEJE WIRADINATA,11000000,4000000,5985000,,,1000000,15000,5985000
474,1151,AZIZAH TALITA DEWI .S.Sos.MM,25000000,15000000,,,,10000000,,
475,1152,INO DARSONO,500000,,,,,500000,,
476,685,"DRS. H. NUR ACHMAD AS, SH",107000000,55000000,52000000,,,1000000,1000000,
477,689,H. SANGKALA H. TAEPE,,,,,,3000000,,
478,694,"Drs. H. ABD. RAHMAN ASSAGAF, M.I.Kom",121000000,95000000,,,26000000,26000000,,
479,690,"H. SYAMSUDDIN A. HAMID, SE",,,,,,1000000,,
480,701,"H. BENNY UTAMA, SH, MM",30900000,30400000,,,,500000,,
481,393,"H. YUSUF LUBIS, SH, MSi",135000000,134000000,,,,,1000000,
482,1060,"ZULKENEDI SAID, S.Sos",21300000,20300000,800000,,,200000,,
483,847,"H.HAMSUARDI, S.Ag",32000000,14000000,5500000,,,,,
484,409,"Drs. H. SYAHIRAN, MM",20000000,3000000,,,,17000000,,
485,639,"Ir. H. BAMBANG SUSILO, MM",,,,,,1000000,-1000000,
486,655,"Dr. H. YUSRIANSYAH SYARKAWI,M.Si",,,,,,50000000,-27955000,
487,1192,"Daud Indow, SH",2000000,,,,,2000000,,
488,1070,"YOSIAS SAROY, SH, MH",129993424,,,,,129993424,,
489,956,"COSTAN OKTEMKA, SIP",371500000,301100000,,,,70400000,,
490,578,"YAKOBUS WAYAM, S.IP, M.Si",125900000,54000000,31355000,,,,40545000,31355000
491,958,"D. NIKOLAUS KAKYARMABIN, SIP.M.Si",90000000,30290000,,,,30290000,,
492,951,"SELOTIUS TAPLO, S.Hi",379000000,60000000,,,,,319000000,
493,709,"H. ASIP KHOLBIHI, SH.,M.Si",3000000,,,,,3000000,,
494,355,"H. Riswadi, SH",2000000,,,,2000000,2000000,,
495,791,"MUKTI AGUNG WIBOWO,ST,M.SI",66437500,54937500,6500000,,,5000000,6500000,
496,807,"H.JUNAEDI, SH.MM.",342050200,84772200,2278000,,,255000000,,2278000
497,781,"MUKHAMMAD ARIFIN, A.Md.Teks",25390000,24890000,,,,,500000,
498,565,"Ir. H. HERI AMALINDO, MM",50000000,,2627300,,,40000000,7327700,2627300
499,567,"SUKARMAN, SH",Tidak diset,,,,,,,
500,562,"H. EFTIYANI, SH",Tidak diset,,,,,,,
501,76,"ARIES SANDI DARMA PUTRA, S.H., M.H.",827500000,,,,827500000,50000000,350000000,427500000
502,1177,"FADHIL HAKIM YHS, BBA",471000000,314000000,6600000,,,,150000000,6600000
503,1178,"H. OKTA RIJAYA M, S.H.I.",256100000,165650000,89950000,,,,500000,89950000
504,1180,"H. DENDI RAMADHONA, S.T.",151000000,130000000,15000000,,,,6000000,15000000
505,952,"Aria Lukita Budiwan, ST",120440000,117440000,,,,1000000,2000000,
506,949,"DR. Drs. Agus Istiqlal, SH, MH",435000000,433260000,,,,500000,1240000,
507,593,"KRT. OKING GANDA MIHARJA, SH",360000000,79180000,177060000,,,5000000,103760000,177060000
508,90,IR. H. JAMAL NASER ,100000000,89451000,9000000,200000,,200000,1349000,9000000
509,761,"H. Hendrajoni, SH, MH",50000,,,,,50000,,
510,767,"Drs. Editiwarman, M.Si",1000000,,,,1000000,1000000,,
511,845,"H. Alirman Sori, SH, M.Hum, MM",1000000,,,,1000000,1000000,,
512,411,Sugiri Sancoko,5000000,5000000,,,,,,
513,418,Drs. H. Ipong Muchlissoni,5000000,,,,,5000000,,
514,454,"Prof. DR. Misranto, S.H. M.Hum.",26200000,,,,,10000000,16200000,
515,420,"H. Amin, SH.",100000,,,,,,100000,
516,1065,"Drs. AMDJAD LAWASA, MM",120500000,108960000,6040000,,5490684,5490684,,
517,1061,Ir. WIRABUMI KALUTI,200000,15700000,,,,200000,,
518,1064,"FRANY E. S DJARUU, SSI, M.Kes",Tidak diset,,,,,,,
519,793,"Aliong Mus, ST",15750000,178900000,,,,500000,500000,
520,784,H. Zainal Mus,237100000,187015000,,,,50000000,85000,
521,897,"H. TASDI, SH,MM",390291444,316409000,12500000,,,13976444,47406000,12500000
522,1207,"SUGENG, SH",21000000,4000000,,16000000,,1000000,16000000,
523,919,"Hj. NURUL TRIWAHYUNI, SE",,12700000,,,,10000000,-22700000,
524,921,"AGUS BASTIAN, SE., MM",162000000,128693000,,,,250000,33057000,
525,917,Ir. H. HAMDAN AZHARI,19012000,18012000,,,,1000000,,
526,721,"ABDUL FARIS UMLATI, SE.",1000100000,,,,,,,
527,1113,"DR. ARTEMAS MAMBRISAUW, S.Sos., M.Si",,,,,,500000,,
528,1114,"Drs. FERDINAND DIMARA, M.Si.",15000000,,,,,15000000,,
529,136,"WILLEM MAMBRASAR, S.Sos., MM.",500000,,,,500000,,,
530,525,"DR.HC H. AHMAD HIJAZI, SH. MSI",1000000,,,,,1000000,1000000,
531,296,"IR. ALRULLAH JAMBAK, MM",1000000,,,,1000000,,1000000,
532,1128,ANOM CHAN,,33750000,2000000,,,,,2000000
533,526,"DRS. SYAMSUL EFFENDI, MM",250000000,109198500,12437000,,,,128363700,12437800
534,1130,"JHON FERIANTO, S.SOS. MM",,,,,,500000,,
535,1136,"TUGIMAN, ST. M.PD",5000000,3800000,230000,,970000,,970000,230000
536,1127,"FATROLAZI, SE",10000000,4000000,,,6000000,,6000000,
537,792,"H. SUNARTO, S.Hut",500000,1200000,,,,500000,,
538,762,H. ABDUL HAFIDZ,132000000,127680000,,,,4320000,,
539,780,"H. HAMZAH FATONI, S.H.,M.Kn",421700000,421700000,,,,1000000,,
540,29,Ir. MARTEN L. DIRA TOME,55000000,24000000,6000000,,,25000000,,6000000
541,894,"IR. THOBIAS ULY, M.SI",201475000,43000000,,,,250000,158225000,
542,31,"KIRENIUSN BULI, BA. SH",7000000,6500000,,,,500000,,
543,783,"H. Atbah Romin Suhaili, Lc",40100000,2000000,38000000,,,100000,,
544,283,"Tony Kurniadi, ST., M.Si",100000000,200000,10000000,,89800000,1000000,88800000,10000000
545,785,"dr. Hj. Juliarti Djuhardi Alwi, MPH.",150000000,46250000000,63750000000,,,1000000,39000000,
546,435,"Drs.Raun Sitanggang,MM",200100000,51640000,28360000,,,120100000,,
547,538,"Drs. Rapidin Simbolon, MM ",50000000,,,,,,,
548,1020,Ir. Hatorangan Simarmata,150000000,127002000,5000000,,,2000000,15998000,
549,1021,Ir. Alusdin Sinaga,55500000,39475000,11000000,,,500000,5025000,
550,471,"H. PENSONG, SE.,M.Si.",122000000,90067200,28350000,,,2000000,1582000,28350000
551,789,"SIMSON, SKm., M.Kes.",405000000,386960000,15100000,,,2940000,15100000,
552,794,"YANSEN AKUN EFFENDY, S.H., M.Si., M.H.",42000000,40600000,,,,200000,1400000,
553,459,"RUPINUS, SH., M.Si.",83000000,73824000,2550000,,,1097000,5529000,2550000
554,139,"Hj. Rosnaini Abidin, S.Sos",2000000,,,,2000000,2000000,,
555,1193,Herwan Efendi,1000000,,,,,,1000000,
556,527,"H. Bundra Jaya, S.H., M.H",510000000,,,,510000000,,,
557,1194,"Mufran Imron, SE",99000000,,,,,97016,98902984,
558,528,Salehan,6000000,5500000,500000,,,,,
559,1129,NUR JATMIKO,300000000,101500000,1670000,,,2700000,194130000,1670000
560,1131,"dr. H.MUNDJIRIN ENGKUN SUPARMADIREDJO,Sp.OG",118915400,67915400,,,,51000000,,
561,1111,Siti U Suruwaky,Tidak diset,,,,,,,
562,453,Mukti Keliobas,Tidak diset,,,,,,,
563,1184,"Ahmad Syarif Madzkrullah, SH",100000,,,,100000,100000,,
564,713,"Hj. RATU TATU CHASANAH, SE, M. Ak",101000000,,,,101000000,1000000,100000000,
565,350,"Drs. H. Abdul Rahim, M.M, MSi",1000000,,,,,1000000,,
566,680,"Drs. INDRA SYAHRIN, M.Si",500000,,,,,500000,,
567,346,"Syahrianto, SH",1000000,,,,1000000,,,
568,352,Ir. H Soekirman ,114916511,,,,,114916511,,
569,406,"H. MG. HADI SUTJIPTO, S.H., M.M.",2000000,,,,,,,
570,433,"H. SAIFUL ILAH, S.H, M.Hum.",5000000,,,,5000000,5000000,,
571,626,"WARIH ANDONO, S.H.",5000000,,,,5000000,5000000,,
572,443,H. UTSMAN IKHSAN,500000,,,,,500000,,
573,1236,"H. MOHAMAD AGUS RAHMAT, S.P., MES",,,,,9917437,9917437,,
574,1046,"NURZAIN DJAELANGKARA, S.H",,,,,,1992500,,
575,1048,"MOHAMAD IRWAN, S.Sos., M.Si",,,,,,492552,,
576,1049,"Drs. HUSEN HABIBU, M.Hi",,,,,,2000000,,
577,896,"Drs. Muchlis Anwar, MSM",1000000,,,,,1000000,,
578,900,"Ashelfine, SH, MH",2000000,,,,2000000,2000000,,
579,898,Drs. Yuswir Arifin DT. Indo Marajo,100000000,,,,,100000000,,
580,128,"EVRA SASSKY DAMANIK, S.Sos",200000000,22000000,53000000,,125000000,,,
581,566,"Dr. Jopinus Ramli Saragih, SH, MM",51100000,,,,51100000,,51100000,
582,129,LINDUNG GURNING,1000000,,,,,1000000,,
583,1203,"Hj.NURIATY DAMANIK, SH",10000000,,,,,10000000,,
584,1204,"TUMPAK SIREGAR, SH",10000000,,,,10000000,,,
585,892,"dr. H. Jarot Winarno, M.Med.PH",5000000,,,,,5000000,,
586,472,"Drs. Ignasius Juan, MM",100000000,10831000,55946000,,,10497000,22726000,
587,888,"Agrianus, S.Sos, M.Si",5000000,,,,,5000000,,
588,456,R. Abdullah Faqih Ghufron ,25000000,,,,,25000000,,
589,759,"H. Dadang Wigiarto, SH",8700411,2712000,,,5988411,5988411,,
590,756,"KH. Abd. Hamid Wahid, M.Ag.",9817500,8817500,,,1000000,1000000,,
591,416,Yuni Satya Rahayu,1421700000,169745000,206200000,10000000,,10000000,1035755000,206200000
592,968,"Drs. Sri Purnomo, M.Si",183000000,,,,,10000000,173000000,
593,1121,"Agus Syahdeman, SE",50500000,,,,,50494760,,
594,614,"Drs. H. DESRA EDIWAN ANANTANUR, MM",20000000,,,,,,,
595,1122,"H. Gusmal, S.E, M.M",9594500,,,,9594500,9594500,,
596,891,H. KHAIRUNAS,15000000,10111000,3500000,,,5500000,-4111000,3500000
597,293,MUZNI ZAKARIA,Tidak diset,,,,,,,
598,248,"H.Andi Kaswadi Razak,SE",500000,330300,,,,94774,69700,
599,657,"Ir.H.LUTFI HALIDE,MP",86925000,2349000,11750000,,,10994801,45906199,
600,1115,"Dortheis Sesa, S.E",Tidak diset,,,,,,,
601,491,"SAMSUDIN ANGGILULI, S.E",Tidak diset,,,,,,,
602,347,"H. SUGIYAMTO SH, MH",545000000,479730000,,,65270000,1793102,63476898,
603,641,IR. JAKA SUMANTA SE,605000000,576500000,,,28500000,6046000,22454000,
604,641,AGUS FATCHUR RAHMAN SH. MH,713588000,694697600,,,18890400,1000000,17890400,
605,232,dr. KUSDINAR UNTUNG YUNI SUKOWATI,525000000,436660000,13200000,,88340000,50000000,25140000,13200000
606,612,"AKHMAD JAJULI, M.Pd.",203630000,100000000,103630000,,10000000,10000000,,
607,1197,"Drs. H. MARWAN HAMAMI, MM",90000000,40000000,,,50000000,,50000000,
608,595,TOTONG SUPARMAN,277600000,,,,277600000,203000000,74600000,
609,596,"H. WARDOYO WIJAYA, SH, MH",310003832,2008266,,,307995566,307995566,,
610,702,"H. NURDIN, SH, MM",20000000,1500000,,10800000,7950000,250000,7700000,
611,1108,Drs. Agustinus Niga Dapawole,35100000,35000000,,,100000,100000,,
612,201,"YOHANES DEDE, SH",93089100,83089100,,,10000000,10000000,,
613,1209,"KEDU LERE, SH",55256000,55156000,,,100000,100000,,
614,202,"REKO DETA, S.Pem",122851400,121851400,,,1000000,1000000,,
615,1107,"Umbu Samapati, SH",167700000,141000000,,,26700000,25026171,1673829,
616,1210,"Drs. Julianus Pote Leba, M.Si",200000,,,,200000,,200000,
617,864,"dr. MATIUS KITU, Sp.B",93067510,78272000,,,14795510,10000000,4795510,
618,860,"Drs. GIDION MBILIJORA, M.Si",50000000,7060000,,,42940000,50000,41840000,1050000
619,203,"H. ASAAT ABDULLAH, ST",426000000,,,,426000000,51000000,375000000,
620,1239,"JACK MORSA H. ABDULLAH, S.ADM",26000000,,,,26000000,1000000,25000000,
621,302,"H. M. HUSNI DJIBRIL, B.SC",200000,,,,200000,200000,,
622,379,"DR. IR. W. MUSYAFIRIN, MM",26000000,,,,26000000,1000000,25000000,
623,581,DRS. HM. NUR YASIN,156840000,91840000,,,65000000,500000,,64500000
624,303,DRS. H. MALA RAHMAN,5800000,,,,5800000,5800000,,
625,995,"Dr. Ir. H. Zainal Abidin, MM, ME",95000000,,,,95000000,,95000000,
626,610,"Dr. KH. A. Busyro Karim, M.Si",106000000,,,,106000000,6000000,100000000,
627,772,"MANDOSIR YUSTINUS, SE, M.Si",Tidak diset,,,,0,,,
628,426,"Drs. Jules F. Warikar, MM",50000000,9500000,,,40500000,500000,40000000,
629,431,Drs. Yan Imbab,Tidak diset,,,,0,,,
630,683,"Ni Putu Eka Wiryastuti, S.Sos",1050000,,,,1050000,,1050000,
631,696,"I Wayan Sarjana, S.Sos",1500000,,,,1500000,,1500000,
632,1217,Tajuddin Noor,7500055,6500000,,,1000055,1000055,,
633,948,"Dr. H.Undunsyah, MH, M.SI",1000437,3500,,,996937,996937,,
634,954,Akhmad Bey Yasin,975000,,,,975000,975000,,
635,1023,Ir. Nicodemus Biringkanae,50000000,46500000,3500000,,3500000,200000,3300000,
636,574,"Theofilus Allorerung, SE",35000000,30160000,,,4840000,1500000,3340000,
637,719,"dr. Zadrak Tombeg, Sp.A",47000000,45000000,,,2000000,2000000,,
638,551,ABDUL HAKIM G,250000,,,,250000,250000,,
639,549,MARDANI H MAMING,10000000,,,,10000000,10000000,,
640,628,DRS. H . IRDINANSYAH TARMIZI,53100000,52100000,,,,1000000,,
641,552,"KOMBES POL (PURN) H. SYAHERDAM, SH",2000000,,,,,2000000,,
642,869,"H. NELSON DARWIS, SH DT. TUNGGA BATUAH",1000000,,,,,1000000,,
643,723,IR. H. EDI ARMAN,1000000,,,,,1000000,,
644,679,DR.Ir. H.Safrial.MS,220000000,75302000,1048000,,144698000,144650000,,48000
645,619,Drs. Mukri,21000000,8743000,8443000,,12257000,1000000,2814000,8443000
646,500,"Drs. H. Anwar Sadat, M.Ag",71115500,12000000,,,59115500,,59115500,
647,556,"Hj. DILLAH HIKMAH SARI, ST",101000000,,,,1000000,,1000000,
648,498,"H. ROMI HARIYANTO, SE",200000000,,,,200000000,,200000000,
649,675,"H.SYAHRUL M. PASARIBU, SH",150000000,,,,150000000,150000000,,
650,396,H.MUHAMMAD YUSUF SIREGAR,10000000,,,,10000000,10000000,,
651,404,Ir. H.ALDINZ RAPOLO SIREGAR,40000000,28500000,,,11500000,10000000,1500000,
652,714,"Daniel Asmorom, SH, MM",Tidak diset,,,,0,,,
653,510,"Ir. Petrus Kasihiuw, MT",Tidak diset,,,,0,,,
654,563,"Agustinus Manibuy,S.Pi.M.Si",700236000,700236000,,,70157179,190000,69967179,
655,1039,"Drs. BERNADUS ALKHATIB IMBURI, M.Si",20000000,,,,20000000,20000000,,
656,1040,"Ir. HENDRIK SYAKE MAMBOR, MM",89060000,89060000,,,4996261,4996261,,
657,1037,"Drs. ANDARIAS KAYUKATUI, M.Si",88500000,72645000,14674000,,1181000,1181000,,
658,82,"Drs. MONANG SITORUS, SH, MBA",Tidak diset,,,,- ,,,
659,728,"Ir. POLTAK SITORUS, M.Sc",101000000,48840000,50450000,,52160000,1000000,710000,50450000
660,337,Ir. DARWIN SIAGIAN,246098000,116012000,2362000,,130086000,,127724000,2362000
661,1058,"BASRIN MOHAMMAD, SE.,M.Si",500000,,,,500000,500000,,
662,1069,"MOHAMMAD LAHAY, SE",1200000,,,,1200000,1200000,,
663,1063,Ir. SAMSULFIQAR TANJUMBULU,15000000,,,,15000000,10000000,5000000,
664,1067,"MUHAMMAD SYARIF AL DJUFRY, SP",500000,,,,500000,500000,,
665,1071,"MAHMUD LAHAY, SE.,M.Si",31000000,,,,31000000,31000000,,
666,1081,AMRAN Hi. YAHYA,53000000,50891000,1000000,,2108444,1108444,1000000,
667,1085,"H. ISKANDAR A. NASIR, SH, MM",65000000,64600000,,,400000,250000,150000,
668,1083,"H. MOH. SALEH BANTILAN, SH, MH",Tidak diset ,,,,0,,,
669,1087,"H. AZIZ BESTARI, ST. MM",Tidak diset ,,,,0,,,
670,706,"Drs. FREDERIK BATTI SORRING, S.Sos., MM.",75994000,17500000,900000,,57594000,50094000,7500000,
671,632,"DR. KALATIKU PAEMBONAN, M.Si.",30033500,23033500,,,7000000,1000000,6000000,
672,376,"Dr. Emil Elestianto, M.Sc",Tidak diset ,,,,0,,,
673,214,"Kholiq, SH, M.Si",375500000,175000000,,,200500000,500000,200000000,
674,656,H. FATHUL HUDA,1000000,,,,1000000,1000000,,
675,605,"ZAKKY MAHBUB, S.H.I",500000,,,,500000,500000,,
676,564,"Haliana, SE",Tidak diset ,,,,0,,,
677,353,"H. Arhawi, SE",1000000,,,,1000000,1000000,,
678,975,"PENEHAS HUGO TEBAI, S.Th",Tidak diset ,,,,0,,,
679,979,"OLLEN OSTAL DAIMBOA, S.Pd, MM",Tidak diset ,,,,0,,,
